Category,Type,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,word1,word2,word3,word4,word5,word6,word7,word8,word9,rt_1,rt_2,rt_3,rt_4,rt_5,key_resp_diff.keys,key_resp_diff.rt,key_resp_diff.started,key_resp_diff.stopped,Strategy_resp,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Things in a kitchen,Spatial,,,,,0,0,0,2,9.808480500709265,None,fork,knife,plate,cup,bowl,,,,,2.532301985193044,4.248373593203723,5.7138341050595045,8.065184395760298,9.631089244037867,5,1.0646935142576694,22.794748276937753,None,It popped into my head,,,002,001,2020_Jun_29_1215,Word Fluency Task,2020.1.2,60.22562702478487,
Words that start with S,Phonemic,,,,,0,1,1,5,,,snake,small,smell,sniff,snack,,,,,2.7587933843024075,3.459189626388252,4.325302585493773,6.109901359304786,7.46114372741431,1,1.5442753778770566,39.618020542897284,None,Popped into my head,,,002,001,2020_Jun_29_1215,Word Fluency Task,2020.1.2,60.22562702478487,
Things in a bedroom,Spatial,,,,,0,2,2,1,,,bed,lamp,dresser,,,,,,,5.912088225129992,8.2127038622275,9.531051858328283,,,2,1.492990129161626,58.457176338881254,None,thought about my bedroom,,,002,001,2020_Jun_29_1215,Word Fluency Task,2020.1.2,60.22562702478487,
Occupations,Semantic,,,,,0,3,3,7,,,nurse,teacher,doctor,barista,construction,,,,,2.795110886450857,4.095834518317133,4.7952093803323805,6.996521165128797,9.76353958202526,3,1.4393589464016259,77.92872613482177,None,It popped into my head,,,002,001,2020_Jun_29_1215,Word Fluency Task,2020.1.2,60.22562702478487,
Animals,Semantic,,,,,0,4,4,6,,,cat,dog,horse,swan,bird,,,,,3.3097852850332856,3.7586501562036574,5.177080302033573,5.9613194591365755,8.80991799896583,3,1.6825514580123127,96.00086460076272,None,imagined myself in a zoo,,,002,001,2020_Jun_29_1215,Word Fluency Task,2020.1.2,60.22562702478487,
Words that start with A,Phonemic,,,,,0,5,5,4,,,animal,agenda,alarm,,,,,,,4.327762529719621,6.276347076520324,9.345563010312617,,,4,1.0942341559566557,116.00709194596857,None,sdfsd,,,002,001,2020_Jun_29_1215,Word Fluency Task,2020.1.2,60.22562702478487,
Things in a garage,Spatial,,,,,0,6,6,0,,,car,tires,tools,toys,boxes,,,,,2.8104397342540324,3.4607346332632005,4.4121287781745195,5.679050967097282,6.645099211949855,5,1.0265254429541528,131.1951042469591,None,dsdfsdf,,,002,001,2020_Jun_29_1215,Word Fluency Task,2020.1.2,60.22562702478487,
Sports,Semantic,,,,,0,7,7,8,,,tennis,vbasketball,baseball,,,,,,,3.178519673179835,5.846490278374404,7.513202513102442,,,6,1.0142950480803847,145.8663502605632,None,popped into my head,,,002,001,2020_Jun_29_1215,Word Fluency Task,2020.1.2,60.22562702478487,
Words that start with F,Phonemic,,,,,0,8,8,3,,,frock,frog,fame,fantasy,frail,,,,,3.1053650421090424,4.1050918800756335,4.83907070197165,6.392947550863028,9.140154824126512,6,0.9600721630267799,162.07588335778564,None,popped into my head,,,002,001,2020_Jun_29_1215,Word Fluency Task,2020.1.2,60.22562702478487,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.99014504766092,None,,,,,,,
