consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word11,word12,word13,rt_11,rt_12,rt_13,word14,word15,word16,word17,word18,word19,word20,word21,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21
0,0,0,0,1,Consent1.png,A1QC1K71RGKZBI,001,2020-07-23_11h08.06.450,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1QC1K71RGKZBI,001,2020-07-23_11h08.06.450,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1QC1K71RGKZBI,001,2020-07-23_11h08.06.450,Fluency_Task,2020.1.2,Win32,60,space,2.01507,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1QC1K71RGKZBI,001,2020-07-23_11h08.06.450,Fluency_Task,2020.1.2,Win32,60,space,17.896315,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1QC1K71RGKZBI,001,2020-07-23_11h08.06.450,Fluency_Task,2020.1.2,Win32,60,space,18.867465,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1QC1K71RGKZBI,001,2020-07-23_11h08.06.450,Fluency_Task,2020.1.2,Win32,60,space,60.18665,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1QC1K71RGKZBI,001,2020-07-23_11h08.06.450,Fluency_Task,2020.1.2,Win32,60,space,20.264115,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1QC1K71RGKZBI,001,2020-07-23_11h08.06.450,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,1,17.10088,bowling,tennis,football,basketball,baseball,hockey,swimming,running,golf,skiing,76,72,68,63,58,53,49,43,35,7,1,7.48896,I thought about how many sports are reported on the news  or tv sports,return,5.831165,0,0,0,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1QC1K71RGKZBI,001,2020-07-23_11h08.06.450,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,nurse,clerk,secetary,doctor,construction,cashier,professor,artist,computer engineer,,85,77,69,64,60,40,36,24,10,,3,6.434445,I thought about the highest paying occupations,p,5.31102,0,1,1,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1QC1K71RGKZBI,001,2020-07-23_11h08.06.450,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,several,seem,sew,simple,so,should,snow,,,,54,49,47,43,32,20,11,,,,4,3.582045,I thought about simple things around the house,p,1.79973,0,2,2,5,1,Words that start with S,Phonemic,p,,,,,,,,,,,,,,,,,,,,,,
