consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word17,word18,rt_17,rt_18,word19,word20,word21,word22,word23,word24,word25,word26,word27,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27
0,0,0,0,1,Consent1.png,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,space,0.91017,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,space,9.539345,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,space,6.968865,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,space,11.770505,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,space,11.638545,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,3.096495,lawnmower,car,tarps,work bench,drill,saw,hammer,screwdriver,bikes,canoe,kayak,gas can,hose,ratchets,skill saw,garbage can,82,77,75,70,66,62,58,54,52,47,44,35,32,25,19,10,3,2.96822,I imagined I was in a garage and wrote what I imagined was there.,j,2.093725,0,0,0,0,1,Things in a garage,Spatial,j,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,frog,farmer,fulfill,full,filament,fracture,fire,fop,friday,forever,feather,final,fester,friend,finger,fetch,83,80,74,73,69,65,60,53,49,46,44,40,37,31,28,23,2,1.355935,Just through free association.,p,1.2658,0,1,1,3,1,Words that start with F,Phonemic,p,fletcher,finagle,19,10,,,,,,,,,,,,,,,,,,
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,basketball,footbal,soccer ball,hockey puck,lacrosse stick,net,shorts,field,stadium,scoreboard,goal post,,,,,,85,81,73,62,52,38,36,33,28,25,10,,,,,,4,1.82285,They just popped into my head.,j,1.177765,0,2,2,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bed,blanket,pillow,bedside table,books,dresser,wardrobe,lamp,sheet,bed frame,bookshelf,,,,,,86,82,80,73,69,64,59,52,43,21,7,,,,,,4,2.63544,I thought of what I had in my bedroom,p,1.180635,0,3,3,1,1,Things in a bedroom,Spatial,p,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,frog,dog,cat,worm,monkey,elephant,donkey,horse,zebra,giraffe,bird,chimpanzee,gorilla,mouse,rat,axotl,86,85,85,83,80,79,76,74,72,69,64,61,56,50,48,44,1,1.02091,I mostly listed related animals,j,1.10378,0,4,4,6,1,Animals,Semantic,j,firefly,salamander,40,37,turtle,tortoise,goldfish,shark,dolphin,whale,orca,ant,cockroach,31,26,20,18,16,14,13,8,4
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,landscaper,gardener,soldier,cop,fireman,barista,lawyer,psychologist,psychiatrist,doctor,researcher,plumber,mechanic,electrician,customer service,salesman,83,81,78,77,72,66,54,51,47,46,40,36,33,30,16,3,3,2.451535,Just what popped into my head.,p,1.168555,0,5,5,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,knife,spoon,fork,rolling pin,oven,refrigerator,cutting board,sink,plate,bowl,whisk,cupboard,cup,coffee maker,toaster,microwave,87,85,83,78,75,70,65,63,62,60,52,34,17,12,10,6,2,1.7959,I thought about what is in my kitchen.,j,1.61365,0,6,6,2,1,Things in a kitchen,Spatial,j,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,a,and,aardvark,arrest,ant,anteater,asinine,ass,ask,asp,apps,application,answer,allow,amperage,87,86,84,81,77,68,65,58,55,53,51,45,42,37,33,25,3,1.90242,The words just came to mind.,j,1.332565,0,7,7,4,1,Words that start with A,Phonemic,j,after,at,10,0,,,,,,,,,,,,,,,,,,
,,,,,,A3IXWFXJC2YKU7,001,2020-07-23_12h03.38.302,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,silver,slither,snake,sip,simple,sake,stake,steak,sneak,snap,spam,since,so,stop,sop,spa,87,84,84,81,80,78,75,74,71,66,63,61,59,55,52,51,1,0.577335,Mostly words that sounded like the word I just put down.,p,1.621625,0,8,8,5,1,Words that start with S,Phonemic,p,spank,stank,48,46,sink,suffer,sucker,sincere,sinus,soap,soda,sat,stab,42,38,34,30,26,20,12,3,1
