consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word25,word26,rt_25,rt_26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,rt_27,rt_28,rt_29,rt_30,rt_31,rt_32,rt_33,rt_34,rt_35,rt_36
0,0,0,0,1,Consent1.png,A2CY1TSQ3KKP5Q,001,2020-07-23_14h05.55.273,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2CY1TSQ3KKP5Q,001,2020-07-23_14h05.55.273,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2CY1TSQ3KKP5Q,001,2020-07-23_14h05.55.273,Fluency_Task,2020.1.2,Win32,60,space,0.97561,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2CY1TSQ3KKP5Q,001,2020-07-23_14h05.55.273,Fluency_Task,2020.1.2,Win32,60,space,7.94495,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2CY1TSQ3KKP5Q,001,2020-07-23_14h05.55.273,Fluency_Task,2020.1.2,Win32,60,space,4.891185,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2CY1TSQ3KKP5Q,001,2020-07-23_14h05.55.273,Fluency_Task,2020.1.2,Win32,60,space,12.479085,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2CY1TSQ3KKP5Q,001,2020-07-23_14h05.55.273,Fluency_Task,2020.1.2,Win32,60,space,10.29345,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2CY1TSQ3KKP5Q,001,2020-07-23_14h05.55.273,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,6.88344,car,oil,generator,truck,shelves,air compressor,gas can,paint,tools,screws,pet food,airvac,spare tire,light,tool case,broom,mop,bucket,refrigerator,freezer,bike,tricycle,toys,pet carrier,83,82,80,79,77,71,69,65,64,62,57,53,48,47,38,33,31,29,22,20,17,13,12,2,4,3.622815,I imagined myself in the garage. I then let my mind wander from one item to another item that may be relevant.,j,3.014145,0,0,0,0,1,Things in a garage,Spatial,j,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2CY1TSQ3KKP5Q,001,2020-07-23_14h05.55.273,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,pilot,mechanic,desk clerk,dentist,doctor,nurse,secretary,consultant,electrician,plumber,artist,graphic designer,interior designer,driver,chauffeur,welder,chef,waitress,hostess,printer,delivery person,photographer,singer,actress,83,78,75,74,73,70,68,65,62,60,59,56,52,50,47,42,40,35,33,27,23,17,15,13,3,1.884145,I just let things come into my mind. I tried to relate each to another when possible.,p,1.21474,0,1,1,7,1,Occupations,Semantic,p,stage manager,builder developer,9,2,,,,,,,,,,,,,,,,,,,,
,,,,,,A2CY1TSQ3KKP5Q,001,2020-07-23_14h05.55.273,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,basketball,baseball,soccer,tennis,ice skating,roller boarding,football,rugby,lacrosse,polo,swimming,diving,racketball,hardball,badminton,volleyball,roller derby,ping pong,long jump,decathlon,triathlon,boating,deep sea fishing,gymnastics,85,83,81,80,77,74,71,69,67,64,62,60,56,54,51,48,44,37,31,29,26,23,19,9,3,1.580145,I thought about sports that typically come on TV and then thought about sports in the Olympics.,j,1.17945,0,2,2,8,1,Sports,Semantic,j,roller skating,,0,,,,,,,,,,,,,,,,,,,,,
