consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word24,word25,word26,rt_24,rt_25,rt_26
0,0,0,0,1,Consent1.png,A1H198MRIM37T1,001,2020-07-27_13h22.09.120,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1H198MRIM37T1,001,2020-07-27_13h22.09.120,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1H198MRIM37T1,001,2020-07-27_13h22.09.120,Fluency_Task,2020.1.2,MacIntel,60,space,1.39799,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1H198MRIM37T1,001,2020-07-27_13h22.09.120,Fluency_Task,2020.1.2,MacIntel,60,space,44.26349,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1H198MRIM37T1,001,2020-07-27_13h22.09.120,Fluency_Task,2020.1.2,MacIntel,60,space,6.753635,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1H198MRIM37T1,001,2020-07-27_13h22.09.120,Fluency_Task,2020.1.2,MacIntel,60,space,17.43098,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1H198MRIM37T1,001,2020-07-27_13h22.09.120,Fluency_Task,2020.1.2,MacIntel,60,space,9.294265,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1H198MRIM37T1,001,2020-07-27_13h22.09.120,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,3,14.42632,far,from,few,fear,forth,free,form,feel,fine,federal,feline,fein,fight,fins,first,fabulous,fart,fame,fake,file,feind,find,fill,82,81,80,77,74,71,69,67,65,56,49,46,44,42,40,34,27,24,21,20,16,11,6,4,4.687425,I think I when through different letters of the alphabet for the second letter in the word.,p,2.766775,0,0,0,3,1,Words that start with F,Phonemic,p,,,,,,
,,,,,,A1H198MRIM37T1,001,2020-07-27_13h22.09.120,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,silverware,booth,chairs,table,bathroom,menu,chef,cook,server,host,specials,noise,tablecloth,pitcher,alcohol,soup,entree,sides,apetizer,waiter,,,,82,77,75,72,68,65,64,62,59,58,54,48,43,39,34,29,26,24,22,0,,,,5,2.578745,I pictured myself in ta restaurant and looked around.,p,1.454215,0,1,1,1,1,Things in a Restaurant,Spatial,p,,,,,,
,,,,,,A1H198MRIM37T1,001,2020-07-27_13h22.09.120,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,aardvark,anvil,anteater,all,and,ampersand,always,amp,anchor,apple,aim,aggregate,agar,able,as,at,always,application,,,,,,80,78,71,68,65,62,60,53,47,41,39,32,28,21,17,16,10,2,,,,,,5,2.45493,I said the 'A' sound to myself and hoped a word would follow.,j,1.742305,0,2,2,4,1,Words that start with A,Phonemic,j,,,,,,
,,,,,,A1H198MRIM37T1,001,2020-07-27_13h22.09.120,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,host,matridee,luggage rack,carpet,tile,desk,business cards,windows,entry way,uniforms,guests,suitcase,music,computer,mints,keys,key rack,,,,,,,86,82,73,70,68,66,60,57,53,44,40,36,32,18,9,6,4,,,,,,,6,2.929195,I picture myself in a hotel lobby and looked around.,j,1.425885,0,3,3,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,
,,,,,,A1H198MRIM37T1,001,2020-07-27_13h22.09.120,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,jaguar,anteater,birds,whale,goldfish,rattlesnake,bear,muskox,gerbil,rat,porcupine,monkey,caiman,alligator,worm,gecko,squirrel,ant,spider,elephant,hyeana,,,82,77,74,70,68,61,58,53,49,47,41,37,34,28,22,20,15,11,8,5,2,,,4,1.93254,I pictured different environments and though about would live there.,j,1.288595,0,4,4,6,1,Animals,Semantic,j,,,,,,
,,,,,,A1H198MRIM37T1,001,2020-07-27_13h22.09.120,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,doctor,scientist,politician,laywer,researcher,scuba instructor,engineer,school teacher,dentist,psychologist,nurse,janitor,trucker,construction worker,librarian,salesman,ceo,burger flipper,,,,,,85,79,76,73,69,61,57,53,47,39,38,31,25,20,16,11,8,2,,,,,,3,2.875505,I thought about the various times when I've seen various occupations listed in studies or games.,p,1.187445,0,5,5,7,1,Occupations,Semantic,p,,,,,,
