consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word9,word10,rt_9,rt_10
0,0,0,0,1,Consent1.png,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,space,2.610065,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,space,18.918915,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,space,8.728515,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,space,24.34961,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,space,25.792035,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,2,32.0217,fish,fan,fi,fig,figure,fin,find,flip,77,68,59,45,22,16,8,2,5,8.078005,I searhed for  things around me,p,4.6548,0,0,0,3,1,Words that start with F,Phonemic,p,,,,
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ant,arrow,apple,apricot,antena,act,,,81,70,64,44,30,8,,,6,5.151195,Came to m y  mind,return,1.64066,0,1,1,4,1,Words that start with A,Phonemic,j,,,,
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,chairs,reception,sofa,computer,,,,,56,31,22,1,,,,,7,3.354335,random,j,1.98885,0,2,2,2,1,Things in a Hotel Lobby,Spatial,j,,,,
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ball,bat,stump,socker,hockey,baasktall,,,78,71,58,37,18,6,,,7,3.03254,random,j,2.092415,0,3,3,8,1,Sports,Semantic,j,,,,
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,chairs,tables,waiter,cook,food,plates,glass,fork,77,67,57,51,39,23,17,6,7,2.451615,radom,p,2.62708,0,4,4,1,1,Things in a Restaurant,Spatial,p,,,,
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tools,spanner,nut,spare,chain,,,,81,73,43,26,10,,,,7,2.189515,random,j,2.024205,0,5,5,0,1,Things in a Garage,Spatial,j,,,,
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ship,sail,sun,star,set,sink,swim,stuck,82,77,73,63,58,45,37,26,7,4.59387,,p,2.74594,0,6,6,5,1,Words that start with S,Phonemic,p,surf,swan,13,6
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog,cat,lion,tiger,horse,rino,giraffe,,80,67,62,54,19,11,3,,7,1.972285,,j,2.75393,0,7,7,6,1,Animals,Semantic,j,,,,
,,,,,,A3RFOODI4G4P4K,001,2020-07-27_13h34.49.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,doctor,nurse,engineer,carpenter,,,,,91,79,68,32,15,,,,7,3.207035,,p,3.08378,0,8,8,7,1,Occupations,Semantic,p,,,,
