consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word15,word16,word17,word18,word19,word20,word21,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21
0,0,0,0,1,Consent1.png,A3EC3OP6U52JYC,001,2020-07-27_14h39.13.142,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3EC3OP6U52JYC,001,2020-07-27_14h39.13.142,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3EC3OP6U52JYC,001,2020-07-27_14h39.13.142,Fluency_Task,2020.1.2,Win32,60,space,1.2621,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3EC3OP6U52JYC,001,2020-07-27_14h39.13.142,Fluency_Task,2020.1.2,Win32,60,space,14.312745,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3EC3OP6U52JYC,001,2020-07-27_14h39.13.142,Fluency_Task,2020.1.2,Win32,60,space,9.236715,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3EC3OP6U52JYC,001,2020-07-27_14h39.13.142,Fluency_Task,2020.1.2,Win32,60,space,22.2642,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3EC3OP6U52JYC,001,2020-07-27_14h39.13.142,Fluency_Task,2020.1.2,Win32,60,space,14.72868,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3EC3OP6U52JYC,001,2020-07-27_14h39.13.142,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,11.633245,star,stroke,strength,simple,smelly,sun,shiny,spring,sign,skill,symptom,slide,school,study,85,82,78,74,71,67,64,59,51,42,29,23,11,7,5,5.079155,I simply typed what came to mind that started with the letter S.  ,p,1.755105,0,0,0,5,1,Words that start with S,Phonemic,p,,,,,,,,,,,,,,
,,,,,,A3EC3OP6U52JYC,001,2020-07-27_14h39.13.142,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,football,ball,hockey,puck,baseball,glove,bat,helmet,referee,boxing,cricket,soccer,net,basketball,83,81,77,76,72,70,67,64,62,58,50,43,41,37,4,2.903395,I tried to remember any and all sports that came to mind. Then I tried to remembr any items that are used within each sport. ,j,1.23838,0,1,1,8,1,Sports,Semantic,j,hoop,court,stadium,field,golf,golf club,frisbee,34,30,29,26,23,15,2
,,,,,,A3EC3OP6U52JYC,001,2020-07-27_14h39.13.142,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,lion,zebra,giraffe,cub,bear,cheetah,hyena,leopard,chimpanzee,elephant,cobra,vulture,eagle,prairie dog,87,85,81,80,78,75,70,66,61,58,56,52,45,40,3,2.765995,I tried to remember all animals found within the African ecosystem. From there I tried to remember any animal that came to mind. ,j,1.274765,0,2,2,6,1,Animals,Semantic,j,lizard,crocodil,fish,dog,cat,buffalo,,34,30,22,17,15,5,
