consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word6,word7,rt_7,word8,word9,rt_8,rt_9
0,0,0,0,1,Consent1.png,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,space,2.642115,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,space,72.964025,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,space,16.81605,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,space,51.56736,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,space,33.54225,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,21.188035,friends,female,fail,fork,fish,56,53,32,17,14,6,4,14.8531,,p,2.598965,0,0,0,3,1,Words that start with F,Phonemic,p,,,,,,,
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,lion ,fox,tiger,wolf,deer,52,49,42,36,32,,6,4.669655,,j,1.845565,0,1,1,6,1,Animals,Semantic,j,,,,,,,
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,engin, tier,tools,wheels,81,67,41,39,21,16,6,2.482135,,j,8.66787,0,2,2,0,1,Things in a Garage,Spatial,j,oik,oil,10,,,,
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tle,plate,water juck,glass,table,73,68,64,60,18,11,2,6.67254,,p,2.538535,0,3,3,1,1,Things in a Restaurant,Spatial,p,fork spoon,knife,3,,,,
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,baseball,volleyball,cricket,soccer,baseball,83,79,75,72,65,57,4,2.22637,,j,76.96112,0,4,4,8,1,Sports,Semantic,j,football,hockey,50,rugby,tennis,37,23
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sofa,flcase,flowercase,presentatin,presentation,53,46,39,29,23,19,6,5.416905,,j,2.765495,0,5,5,2,1,Things in a Hotel Lobby,Spatial,j,foudio,foundation,11,,,,
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,start,six,soccer,seminar,sex,80,78,75,70,64,58,3,4.21352,,p,1.18305,0,6,6,5,1,Words that start with S,Phonemic,p,sentiement,similar,50,spider,,27,
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sales,manufacturing,doctor,police,politician,77,53,45,38,0,,5,1.774675,,p,0.945475,0,7,7,7,1,Occupations,Semantic,p,,,,,,,
,,,,,,A144CM0PU2NEZG,001,2020-07-27_15h23.02.709,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ant,annoy,acclelerate,appreciate,attention,84,78,68,59,52,27,4,8.906265,,j,3.12727,0,8,8,4,1,Words that start with A,Phonemic,j,apple,alphabet,6,,,,
