consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word26,rt_26,word27,word28,word29,word30,rt_27,rt_28,rt_29,rt_30
0,0,0,0,1,Consent1.png,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,space,1.21344,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,space,13.86186,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,space,6.346465,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,space,13.04151,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,space,9.095095,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,1,9.423985,accountant,banker,loan officer,cashier,manager,programmer,qa analyst,electrician,mechanic,florist,president,congressman,lawyer,judge,architect,biologist,doctor,surgeon,pharmacist,nurse,radiologic technician,chemist,builder,carpenter,mason,83,80,77,75,73,70,68,64,62,57,52,50,48,46,42,39,38,36,34,31,26,19,7,5,1,1,2.79156,I thought of jobs people in my family had and went from there.,p,2.505295,0,0,0,7,1,Occupations,Semantic,p,,,,,,,,,,
,,,,,,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,toolbox,car,jack,table,saw,lawn mower,paint,shelf,tire,cleaning liquid,screwdriver,wrench,storage containers,christmas decor,boxes,deep freezer,,,,,,,,,,81,78,76,73,70,66,63,58,54,46,32,28,18,13,7,2,,,,,,,,,,2,1.312845,I thought of things in mine or my family's garages.,j,1.984365,0,1,1,0,1,Things in a Garage,Spatial,j,,,,,,,,,,
,,,,,,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,chairs,tables,fryers,stoves,plates,spoons,forks,knives,freezers,pots,pans,laddles,alcohol,meat,vegetables,fruit,ketchup,mustard,mayonaisse,salad dressing,stove,cooktop,sink,dishwasher,cash register,86,84,81,79,77,75,74,72,69,66,64,58,54,52,50,48,43,41,38,34,32,29,24,21,13,1,1.210635,I thought about what I've seen in a restaurant.,p,0.96314,0,2,2,1,1,Things in a Restaurant,Spatial,p,napkins,3,,,,,,,,
,,,,,,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,elephant,bear,rhinocerous,monkey,ape,orangutang,dog,cat,fox,wolf,osterich,llama,sheep,goat,cow,bull,horse,chicken,lamb,alligator,frog,snake,crocodile,squirrel,beaver,85,83,79,77,74,68,65,64,62,60,55,53,52,51,50,48,45,41,35,30,28,26,23,20,17,1,1.48785,I thought of zoo animals then pets I've owned and so forth.,j,1.24994,0,3,3,6,1,Animals,Semantic,j,otter,15,chipmunk,coyote,parrot,hawk,10,6,2,1
,,,,,,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,ape,anchor,accuse,acumen,affluent,apricot,able,ablution,ascend,aids,add,addle,abor,adore,alleviate,abrupt,abbreviate,atlas,addle,,,,,,87,85,82,77,74,72,67,65,61,58,52,50,45,36,32,29,20,17,11,2,,,,,,3,0.85501,I just thought of words randomly.,j,1.03649,0,4,4,4,1,Words that start with A,Phonemic,j,,,,,,,,,,
,,,,,,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fries,fright,foreign,forget,fork,forge,fat,fault,fail,frame,freak,foul,fowl,far,form,former,feel,fallen,fall,funk,fun,fester,,,,84,82,79,77,71,68,64,61,58,56,45,42,39,37,31,29,21,17,14,8,6,5,,,,4,0.56765,I just thought of them randomly.,p,1.001095,0,5,5,3,1,Words that start with F,Phonemic,p,,,,,,,,,,
,,,,,,A3D2GO0IFRFN6R,001,2020-07-27_15h25.29.322,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,chairs,table,desk,computer,coffee,tea,lemonade,magazines,tv,fireplace,rugs,faux plants,sign boards,keycard reader,elevator,trolley,,,,,,,,,,86,84,82,80,77,76,74,71,70,68,64,59,48,37,32,5,,,,,,,,,,3,1.755805,I just imagine myself in one.,j,0.99744,0,6,6,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,
