consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word18,word19,word20,word21,rt_18,rt_19,rt_20,rt_21
0,0,0,0,1,Consent1.png,A2VO8C41JJIQY9,001,2020-07-27_15h32.12.438,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2VO8C41JJIQY9,001,2020-07-27_15h32.12.438,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2VO8C41JJIQY9,001,2020-07-27_15h32.12.438,Fluency_Task,2020.1.2,MacIntel,60,space,2.21088,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2VO8C41JJIQY9,001,2020-07-27_15h32.12.438,Fluency_Task,2020.1.2,MacIntel,60,space,37.072755,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2VO8C41JJIQY9,001,2020-07-27_15h32.12.438,Fluency_Task,2020.1.2,MacIntel,60,space,14.107765,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2VO8C41JJIQY9,001,2020-07-27_15h32.12.438,Fluency_Task,2020.1.2,MacIntel,60,space,22.22347,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2VO8C41JJIQY9,001,2020-07-27_15h32.12.438,Fluency_Task,2020.1.2,MacIntel,60,space,14.90516,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2VO8C41JJIQY9,001,2020-07-27_15h32.12.438,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,3,20.909325,dog,cat,monkey,donkey,elephant,rabbit,horse,hippopotamus,pig,cow,buffalo,bullock,rat,fox,lion,tiger,hyna,85,83,81,78,73,66,63,52,49,48,42,39,30,21,19,16,6,2,3.89456,"I was thinking of animmals of diferent categories like wild animals, pets, small and big animals etc.",j,2.698365,0,0,0,6,1,Animals,Semantic,j,,,,,,,,
,,,,,,A2VO8C41JJIQY9,001,2020-07-27_15h32.12.438,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,table,chair,restaurant manager,waitress,dish washer,chef,food,glass,plates,cutlary,grill,fridge,,,,,,83,81,71,67,62,59,53,46,44,33,12,4,,,,,,3,37.60044,I was imagining myself in a restaurant and listing down all thee items one by one as I come across.,p,2.95,0,1,1,1,1,Things in a Restaurant,Spatial,p,,,,,,,,
,,,,,,A2VO8C41JJIQY9,001,2020-07-27_15h32.12.438,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,waiting area,sofa,chair,paintings,carpet,table,,,,,,,,,,,,59,58,56,39,28,8,,,,,,,,,,,,6,4.565305,I imagined myself in a hotel lobby trying to remember what things I have seen in the past.,j,1.283885,0,2,2,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,
