consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word14,word15,rt_14,rt_15,word16,word17,word18,word19,rt_16,rt_17,rt_18,rt_19
0,0,0,0,1,Consent1.png,A1SOLW0I6UVOLM,001,2020-07-27_15h33.59.206,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1SOLW0I6UVOLM,001,2020-07-27_15h33.59.206,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1SOLW0I6UVOLM,001,2020-07-27_15h33.59.206,Fluency_Task,2020.1.2,Win32,60,space,2.871865,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1SOLW0I6UVOLM,001,2020-07-27_15h33.59.206,Fluency_Task,2020.1.2,Win32,60,space,2.25052,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1SOLW0I6UVOLM,001,2020-07-27_15h33.59.206,Fluency_Task,2020.1.2,Win32,60,space,33.16932,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1SOLW0I6UVOLM,001,2020-07-27_15h33.59.206,Fluency_Task,2020.1.2,Win32,60,space,16.71737,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1SOLW0I6UVOLM,001,2020-07-27_15h33.59.206,Fluency_Task,2020.1.2,Win32,60,space,3.384275,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1SOLW0I6UVOLM,001,2020-07-27_15h33.59.206,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,1,22.83167,dog,cat,lion,tiger,monkey,deer,bear,gorilla,zebra,elephant,fox,cheetah,giraffe,83,80,75,73,70,65,62,57,54,37,13,6,2,7,4.23166,make a attention to them,j,2.7517,0,0,0,6,1,Animals,Semantic,j,,,,,,,,,,,,
,,,,,,A1SOLW0I6UVOLM,001,2020-07-27_15h33.59.206,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,saucer,plate,food,chair ,curtain,table,fork,knife,kitchen,bill counter,spoon,bowl,light,84,79,77,73,70,66,64,61,57,52,46,44,22,7,2.571355,To remember is so difficult,p,1.821395,0,1,1,1,1,Things in a Restaurant,Spatial,p,serving table,cloth,12,4,,,,,,,,
,,,,,,A1SOLW0I6UVOLM,001,2020-07-27_15h33.59.206,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,snake,snail,smoke,start,semester,settle,segment,server,sex,sensor,suits,sand,sat,86,83,80,77,70,66,62,57,54,48,45,40,36,6,2.459885,It is so easy,p,1.555395,0,2,2,5,1,Words that start with S,Phonemic,p,set,surf,33,23,supply,suggest,snipe,sing,18,15,4,0
