consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word18,word19,word20,rt_18,rt_19,rt_20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,rt_32,rt_33,rt_34,rt_35,rt_36,rt_37
0,0,0,0,1,Consent1.png,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,space,0.805975,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,space,6.752015,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,space,1.77207,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,space,4.075685,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,space,10.4753,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,3.879945,baseball,football,soccer,basketball,cricket,track,marathon running,triathlon,weight lifting,judo,pole vaulting,golf,tennis,jai alai,bowling,rugby,ultimate frisbee,84,82,80,77,75,67,63,60,58,53,50,44,43,38,26,12,3,2,1.918425,"I thought about sports on TV, then olympic sports",j,2.67728,0,0,0,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bellhop,front desk employee,desk,table,chair,sofa,painting,plant,rug,phone,computer,light,luggage,door,,,,80,75,73,72,71,70,68,67,65,64,62,8,5,2,,,,3,1.4461,I imagined being in a hotel lobby and what was there,j,1.47261,0,1,1,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,accountant,file clerk,truck driver,data analyst,it worker,ceo,cfo,engineer,biologist,chemist,janitor,maid,hospitality,real estate agent,insurance agent,landscaping,tree service,86,82,78,75,73,69,68,62,59,56,55,54,44,39,36,25,15,1,0.864625,I just thought of any jobs that popped into my head,p,1.32585,0,2,2,7,1,Occupations,Semantic,p,athlete,software,programmer,10,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,snake,scarf,scale,shark,spider,slippers,spade,shovel,star,sticker,sugar,samosa,salami,step,,,,86,78,73,71,69,63,52,51,46,43,33,27,24,21,,,,5,2.132905,"I thought of whatever came into my head, or categories of things",p,1.057675,0,3,3,5,1,Words that start with S,Phonemic,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,truck,lawnmower,shovel,spade,pliers,hammer,nails,workbench,light,screwdriver,van,refrigerator,freezer,extension cord,weed trimmer,,83,81,78,75,72,69,67,65,63,58,50,40,29,27,23,17,,2,1.382245,I pictured being in a garage and what is in it,j,1.177655,0,4,4,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,spider,ant,termite,fly,dragonfly,mosquito,scorpion,iguana,chameleon,newt,salamander,frog,toad,gila monster,bearded dragon,komodo dragon,goat,87,86,84,82,79,77,72,71,67,64,63,62,61,54,49,44,43,1,1.023455,I thought of different categories of animals,j,0.936905,0,5,5,6,1,Animals,Semantic,j,sheep,pig,cow,42,40,38,chicken,turkey,cat,dog,horse,donkey,fish,bird,eagle,hawk,lion,jaguar,cheetah,tiger,puma,ram,shark,35,34,32,31,28,25,22,21,20,19,16,15,12,11,10,5,1
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,waiter,hostess,customer,table,chair,phone,plate,spoon,fork,knife,bowl,serving tray,glass,wine glass,artwork,carpet,bench,85,83,79,78,77,76,71,70,69,67,66,63,62,59,57,56,53,2,1.750345,I visualized different parts of a restauant and what is in them,p,0.986565,0,6,6,1,1,Things in a Restaurant,Spatial,p,window,toilet,sink,50,48,47,oven,stove,shelf,refrigerator,freezer,mop,broom,water,pizza,meat,,,,,,,,45,43,38,30,28,24,21,13,10,4,,,,,,,
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,ant,art,aardvark,alien,anteater,allen wrench,asp,axe,ad,anchor,,,,,,,83,82,80,74,65,61,51,39,36,33,5,,,,,,,5,2.04166,I just wrote whatever popped into my mind,j,0.976575,0,7,7,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A320QA9HJFUOZO,001,2020-07-27_16h18.02.463,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fish,friend,fig,fog,fork,flipper,frankfurter,fin,fist,fort,flap,fridge,file,,,,,87,84,79,76,73,69,62,53,51,48,45,19,5,,,,,4,0.729265,I just thought of whatever words came to mind,p,0.889075,0,8,8,3,1,Words that start with F,Phonemic,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
