consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word16,word17,word18,word19,rt_16,rt_17,rt_18,rt_19
0,0,0,0,1,Consent1.png,A27VFM67RPD2L5,001,2020-07-27_16h22.24.082,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A27VFM67RPD2L5,001,2020-07-27_16h22.24.082,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A27VFM67RPD2L5,001,2020-07-27_16h22.24.082,Fluency_Task,2020.1.2,Win32,60,space,1.34766,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A27VFM67RPD2L5,001,2020-07-27_16h22.24.082,Fluency_Task,2020.1.2,Win32,60,space,11.39854,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A27VFM67RPD2L5,001,2020-07-27_16h22.24.082,Fluency_Task,2020.1.2,Win32,60,space,12.591405,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A27VFM67RPD2L5,001,2020-07-27_16h22.24.082,Fluency_Task,2020.1.2,Win32,60,space,14.195485,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A27VFM67RPD2L5,001,2020-07-27_16h22.24.082,Fluency_Task,2020.1.2,Win32,60,space,13.671735,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A27VFM67RPD2L5,001,2020-07-27_16h22.24.082,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,5.05108,table,food,waiter,napkin,glass,menu,chair,tip,register,rug,door,salad,wine,patrons,condiments,86,81,76,73,69,65,63,53,48,34,32,27,22,17,7,3,3.31745,I thought of the last restaurant we went to and envisioned what was there.,p,4.676585,0,0,0,1,1,Things in a Restaurant,Spatial,p,,,,,,,,
,,,,,,A27VFM67RPD2L5,001,2020-07-27_16h22.24.082,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,snake,salmon,salt,stable,saddle,symptom,sign,silver,spoon,stirrer,scotch,scale,sheet,,,87,84,76,68,65,57,55,39,37,32,22,16,7,,,4,3.54393,I typed whatever came to mind.,p,2.077345,0,1,1,5,1,Words that start with S,Phonemic,p,,,,,,,,
,,,,,,A27VFM67RPD2L5,001,2020-07-27_16h22.24.082,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ant,antelope,aardvark,ass,amber,artifice,architecture,ashtray,artwork,abacus,aversion,,,,,88,85,80,76,71,65,56,49,43,34,19,,,,,5,1.102535,"Again, I just typed whatever came to mind.",j,1.93281,0,2,2,4,1,Words that start with A,Phonemic,j,,,,,,,,
