consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word7,rt_7
0,0,0,0,1,Consent1.png,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,space,28.3404,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,space,493.490035,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,space,9.433935,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,space,35.47338,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,space,25.98506,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,9.64728,plate,chair,food,fork,spoon,table,80,76,68,63,60,21,1,14.17878,Like i enter a restaurant,p,5.91465,0,0,0,1,1,Things in a Restaurant,Spatial,p,,
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fan,food,fry,fin,fork,ferry,64,57,52,42,24,15,1,11.917395,I remember items from restaurant,p,6.473195,0,1,1,3,1,Words that start with F,Phonemic,p,,
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,doctor,teacher,typist,engineer,,,73,69,57,45,,,1,2.84161,I picture different professionals ,p,2.91631,0,2,2,7,1,Occupations,Semantic,p,,
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,screw,jack,tire,rack,,,76,72,66,59,,,1,2.38184,I picture myself in a garage,j,2.044335,0,3,3,0,1,Things in a Garage,Spatial,j,,
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,lion,dog,goat,sheep,tiger,,72,68,53,50,38,,1,5.55523,I think of forest,j,5.31996,0,4,4,6,1,Animals,Semantic,j,,
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sword,sleep,swim,skip,slope,scam,84,80,76,73,70,64,1,6.11839,I think of letter S,p,1.668375,0,5,5,5,1,Words that start with S,Phonemic,p,sex,60
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,soccer,baseball,golf,basketball,cricket,,83,77,71,60,50,,1,2.65205,I think of sport that i enjoy,j,14.501765,0,6,6,8,1,Sports,Semantic,j,,
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,angel,angle,around,arest,against,,78,74,66,59,53,,1,14.45099, it is a common term,j,1.859455,0,7,7,4,1,Words that start with A,Phonemic,j,,
,,,,,,A1B4PKGXKL7UOH,001,2020-07-27_16h23.02.156,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,chair,,,,,,74,,,,,,1,10.21793,i think of hotel,j,1.7919,0,8,8,2,1,Things in a Hotel Lobby,Spatial,j,,
