consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word18,word19,word20,word21,word22,rt_18,rt_19,rt_20,rt_21,rt_22
0,0,0,0,1,Consent1.png,A2J5SITMVZVC2B,001,2020-07-27_16h24.42.353,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2J5SITMVZVC2B,001,2020-07-27_16h24.42.353,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2J5SITMVZVC2B,001,2020-07-27_16h24.42.353,Fluency_Task,2020.1.2,MacIntel,60,space,2.64513,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2J5SITMVZVC2B,001,2020-07-27_16h24.42.353,Fluency_Task,2020.1.2,MacIntel,60,space,19.27719,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2J5SITMVZVC2B,001,2020-07-27_16h24.42.353,Fluency_Task,2020.1.2,MacIntel,60,space,13.33313,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2J5SITMVZVC2B,001,2020-07-27_16h24.42.353,Fluency_Task,2020.1.2,MacIntel,60,space,21.587885,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2J5SITMVZVC2B,001,2020-07-27_16h24.42.353,Fluency_Task,2020.1.2,MacIntel,60,space,16.13845,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2J5SITMVZVC2B,001,2020-07-27_16h24.42.353,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,3,16.61225,salmon,salad,siesta,short,scale,sign,sell,sale,sky,shell,start,stark,shark,shale,sty,sting,star,85,79,76,74,68,56,54,53,49,45,31,27,24,20,15,13,3,3,5.16547,"I looked around my house to see what I could find and typically if I came up with one thing, it led my train of thought to focus on other things that might be in the same theme. This why I have a few items that are associated with the beach.",p,2.74294,0,0,0,5,1,Words that start with S,Phonemic,p,,,,,,,,,,
,,,,,,A2J5SITMVZVC2B,001,2020-07-27_16h24.42.353,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,desk,clerk,credit card machine,chairs,bathroom,carpets,shops,money,name tags,,,,,,,,,83,82,77,75,72,57,46,25,12,,,,,,,,,6,28.08513,,j,1.472425,0,1,1,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,
,,,,,,A2J5SITMVZVC2B,001,2020-07-27_16h24.42.353,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,football,basketball,soccer,tennis,hockey,field hockey,softball,baseball,raquetball,waterpolo,rugby,,,,,,,84,82,80,74,72,65,60,57,45,18,13,,,,,,,4,4.97494,I just let my mind go. I started with the first sport that came to my mind and then it just progressed from there.,j,1.2123,0,2,2,8,1,Sports,Semantic,j,,,,,,,,,,
