consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word11,word12,word13,rt_11,rt_12,rt_13
0,0,0,0,1,Consent1.png,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,space,1.967575,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,space,12.852995,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,space,7.48367,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,space,19.63585,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,space,11.81732,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,17.237455,fairy,fresh,fruit,funny,fan,fancy,forum,free,freeze,fee,76,72,69,65,63,60,51,37,33,28,2,5.09713,I just started saying words aloud,p,4.01039,0,0,0,3,1,Words that start with F,Phonemic,p,,,,,,
,,,,,,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,desk,clerk,couch,tv,trash can,phone,windows,tables,,,81,77,69,67,55,51,37,5,,,4,5.574045,I tried picturing the last hotel lobby I was in. ,j,20.96925,0,1,1,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,
,,,,,,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,football,baseball,basketball,soccer,bowling,tennis,golf,track,racing,,83,79,75,73,68,65,63,59,23,,4,3.630095,I thought about sports I see on Tv,j,2.045185,0,2,2,8,1,Sports,Semantic,j,,,,,,
,,,,,,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sun,sand,sunflower,seeds,silly,sandwich,salt,salmon,supper,super,83,80,73,70,66,62,54,45,32,28,2,2.63848,just started saying s words aloud,p,1.943735,0,3,3,5,1,Words that start with S,Phonemic,p,surprise,shower,stairs,19,13,6
,,,,,,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,lawn mower,shover,oil,tools,garbage can,rags,rake,,,86,77,73,71,66,55,42,36,,,5,3.512845,"I dont have a garage,so I tried to think of what would be in there if I did.",j,1.76355,0,4,4,0,1,Things in a Garage,Spatial,j,,,,,,
,,,,,,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tables,customers,waiters,food,dishes,cooks,register,table cloths,napkins,silverware,84,79,75,73,64,62,48,35,27,3,3,4.12157,Tried to picture myself in a resturant,p,1.869275,0,5,5,1,1,Things in a Restaurant,Spatial,p,,,,,,
,,,,,,AFN5VMMGYPF1I,001,2020-07-27_16h26.40.718,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,animal,add,all,aleve,alie,appetite,ape,ace,ado,ap,85,83,80,73,66,56,49,46,42,36,2,3.706555,saying words starting with a,j,1.759985,0,6,6,4,1,Words that start with A,Phonemic,j,,,,26,,
