consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word21,word22,word23,word24,word25,rt_21,rt_22,rt_23,rt_24,rt_25
0,0,0,0,1,Consent1.png,A3K9GTQBOI7O5A,001,2020-07-27_16h36.58.685,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3K9GTQBOI7O5A,001,2020-07-27_16h36.58.685,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3K9GTQBOI7O5A,001,2020-07-27_16h36.58.685,Fluency_Task,2020.1.2,Win32,60,space,1.82237,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3K9GTQBOI7O5A,001,2020-07-27_16h36.58.685,Fluency_Task,2020.1.2,Win32,60,space,9.461155,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3K9GTQBOI7O5A,001,2020-07-27_16h36.58.685,Fluency_Task,2020.1.2,Win32,60,space,3.091475,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3K9GTQBOI7O5A,001,2020-07-27_16h36.58.685,Fluency_Task,2020.1.2,Win32,60,space,2.849275,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3K9GTQBOI7O5A,001,2020-07-27_16h36.58.685,Fluency_Task,2020.1.2,Win32,60,space,5.58727,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3K9GTQBOI7O5A,001,2020-07-27_16h36.58.685,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,2,8.160835,friend,flower,file,fun,foe,fire,fiend,fields,first,find,fist,fight,frof,frog,fog,front,fear,fierce,fighter,fond,84,82,80,78,76,72,69,64,58,55,52,48,41,37,35,32,26,19,8,2,1,2.394245,"i thought about all the words capslockicapslock could come up with f letter, from nature to appliances and human bahavior. ",p,4.54312,0,0,0,3,1,Words that start with F,Phonemic,p,,,,,,,,,,
,,,,,,A3K9GTQBOI7O5A,001,2020-07-27_16h36.58.685,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bell,pen,computer,notepad,cards,printer,chairs,dek,desk,cushion,alcohol gel ,brochures,,,,,,,,,85,83,81,77,73,69,62,48,45,35,28,15,,,,,,,,,3,2.364185, i thought about the office space and past experiences  at hotels. ,j,1.48246,0,1,1,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,
,,,,,,A3K9GTQBOI7O5A,001,2020-07-27_16h36.58.685,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tires,oil,tools,cr,car,nails,chains,spark plugs,gas,cilinders,cables,tools,bicycle,boxes,,,,,,,85,84,82,81,79,76,74,69,61,58,52,48,26,21,,,,,,,3,1.85248,i thought about the typical garage setting with a crowded garage,j,1.35001,0,2,2,0,1,Things in a Garage,Spatial,j,,,,,,,,,,
,,,,,,A3K9GTQBOI7O5A,001,2020-07-27_16h36.58.685,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,lawyer,pilot,engineer,economist,sales,chef,waiter,police officer,fire fighter,janitor,politician,flight attendant,accountant,athlete,manager,coach,teacher,,,,86,85,83,78,77,74,71,65,61,57,53,41,25,14,11,8,5,,,,1,3.851635,i thought about all the occupatoons i could think of relating them to people i know and their work activity,p,1.54154,0,3,3,7,1,Occupations,Semantic,p,,,,,,,,,,
