consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,rt_1,rt_2,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word3,word4,word5,word6,rt_3,rt_4,rt_5,rt_6,word7,word8,word9,rt_7,rt_8,rt_9
0,0,0,0,1,Consent1.png,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,space,4.61825,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,space,9.038005,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,space,13.37315,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,space,63.556415,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,space,168.341535,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,4,24.354265,vegtables,park,15,2,7,6.30782,restaurnt is very like it,p,3.470445,0,0,0,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,footbal,cricket,68,61,5,4.526145,sports very human helth game,j,5.185605,0,1,1,8,1,Sports,Semantic,j,,,,,,,,,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,face book ,factory,79,72,5,2.79045,Good feeling,p,2.262665,0,2,2,3,1,Words that start with F,Phonemic,p,fast,feeling,footbal,face,56,49,32,16,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cat,cow,80,76,6,1.800285,And human being are judt as movtivated by it as pack animal,j,3.088835,0,3,3,6,1,Animals,Semantic,j,elephant,lion,mouse,dog,67,55,49,38,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,animal,81,73,7,2.60955,i bought a new bike,j,1.677105,0,4,4,4,1,Words that start with A,Phonemic,j,aagney,anger,,,33,0,,,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,old paint cans,a ladder,48,39,7,2.16095,,j,1.777325,0,5,5,0,1,Things in a Garage,Spatial,j,work gloves,,,,26,,,,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,the hotel lobby most best room,,6,,6,2.13553,this category very good,j,2.02491,0,6,6,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,marketing,agreecultion,80,10,4,1.67601,,p,1.8659,0,7,7,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,
,,,,,,A133W5AYGUPFDZ,001,2020-07-27_16h37.20.497,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sports,sun,85,80,4,1.745465,,p,1.8375,0,8,8,5,1,Words that start with S,Phonemic,p,start,short,sumall,summer,75,69,63,58,single,science,size,34,18,10
