consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word15,word16,word17,word18,word19,word20,word21,word22,word23,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23
0,0,0,0,1,Consent1.png,A2P8V5SKYLL5I4,001,2020-07-27_16h45.32.999,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2P8V5SKYLL5I4,001,2020-07-27_16h45.32.999,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2P8V5SKYLL5I4,001,2020-07-27_16h45.32.999,Fluency_Task,2020.1.2,Win32,60,space,1.42028,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2P8V5SKYLL5I4,001,2020-07-27_16h45.32.999,Fluency_Task,2020.1.2,Win32,60,space,18.44182,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2P8V5SKYLL5I4,001,2020-07-27_16h45.32.999,Fluency_Task,2020.1.2,Win32,60,space,30.40618,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2P8V5SKYLL5I4,001,2020-07-27_16h45.32.999,Fluency_Task,2020.1.2,Win32,60,space,8.33089,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2P8V5SKYLL5I4,001,2020-07-27_16h45.32.999,Fluency_Task,2020.1.2,Win32,60,space,18.637375,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2P8V5SKYLL5I4,001,2020-07-27_16h45.32.999,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,1,17.15921,cow,turkey,lion,giraffe,tiger,seal,whale,rabbit,bird,kangaroo,snake,butterfly,elephant,leopard,84,77,75,72,70,65,61,58,51,36,33,26,15,5,4,6.026805,i thought about all the animals i could remember and i wrote them down ,j,2.72239,0,0,0,6,1,Animals,Semantic,j,,,,,,,,,,,,,,,,,,
,,,,,,A2P8V5SKYLL5I4,001,2020-07-27_16h45.32.999,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,ladder,old paint cans,garbage cans,work gloves,extra motor oil,garbage cans,spiders,empty flower pots,,,,,,83,64,56,48,40,24,16,13,5,,,,,,5,3.270425,i thought about all the items in my garage,j,1.2868,0,1,1,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,
,,,,,,A2P8V5SKYLL5I4,001,2020-07-27_16h45.32.999,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,chair,flower plants,desk,hall way,paintings,decors,,,,,,,,,64,59,53,24,6,1,,,,,,,,,6,2.73569,i imagined a hotel lobby,j,1.05338,0,2,2,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,
,,,,,,A2P8V5SKYLL5I4,001,2020-07-27_16h45.32.999,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,snake,sank,sang,sun,sin,slippers,sniper,sow,some,see,sought,soft,silk,slit,85,83,81,79,76,73,67,52,48,42,38,34,31,29,1,1.791245,i just wrote down what came to mind starting with letter s,p,1.3016,0,3,3,5,1,Words that start with S,Phonemic,p,slime,slide,slap,slow,show,shovel,shut,shot,shoot,26,24,22,19,14,9,6,3,2
