consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word15,word16,word17,word18,word19,word20,word21,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,word22,rt_22,word23,word24,rt_23,rt_24
0,0,0,0,1,Consent1.png,A11TPUPFP2S4MK,001,2020-07-27_16h49.15.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A11TPUPFP2S4MK,001,2020-07-27_16h49.15.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11TPUPFP2S4MK,001,2020-07-27_16h49.15.132,Fluency_Task,2020.1.2,Win32,60,space,1.47567,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11TPUPFP2S4MK,001,2020-07-27_16h49.15.132,Fluency_Task,2020.1.2,Win32,60,space,232.831005,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11TPUPFP2S4MK,001,2020-07-27_16h49.15.132,Fluency_Task,2020.1.2,Win32,60,space,17.764225,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11TPUPFP2S4MK,001,2020-07-27_16h49.15.132,Fluency_Task,2020.1.2,Win32,60,space,17.86786,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11TPUPFP2S4MK,001,2020-07-27_16h49.15.132,Fluency_Task,2020.1.2,Win32,60,space,7.43203,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11TPUPFP2S4MK,001,2020-07-27_16h49.15.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,5.71054,apple,ass,action,actor,act,ample,atttude,amplitude,agony,actress,acorn,age,ageless,aging,83,78,73,72,71,65,62,58,43,21,12,7,4,2,2,5.7232,"I thought about nouns, verbs, adjectives related to the letter.",j,1.985845,0,0,0,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,,,,
,,,,,,A11TPUPFP2S4MK,001,2020-07-27_16h49.15.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,basketball,baseball,tennis,court,ballpark,stadium,fan,score,scorecard,commentry,ground,bat,ball,strike,79,77,76,74,70,66,64,60,54,48,41,39,37,30,1,1.947505,I tried to remember all different sports,j,1.859215,0,1,1,8,1,Sports,Semantic,j,goal,cricket,hockey,shooting,scoring,uniform,foul,27,25,22,15,10,8,1,,,,,,
,,,,,,A11TPUPFP2S4MK,001,2020-07-27_16h49.15.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,friend,friendship,fcus,focus,fire,firebrand,fireworks,fireball,flame,flame thrower,foul,face,facepalm,facelift,84,80,78,75,73,70,63,58,53,48,45,22,17,11,3,2.51509,"I remembered words including nouns, verbs and adjectives.",p,1.425045,0,2,2,3,1,Words that start with F,Phonemic,p,fusion,,,,,,,7,,,,,,,,,,,,
