consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word14,word15,word16,word17,word18,word19,word20,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,word21,word22,word23,word24,word25,word26,word27,word28,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28
0,0,0,0,1,Consent1.png,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,space,3.249325,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,space,16.228455,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,space,3.71984,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,space,13.46812,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,space,8.22264,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,6.195405,doctor,lawyer,teacher,janitor,waitress,pilot,engineer,truck driver,delivery person,police,baker,candlestick maker,butcher,81,79,76,73,66,63,59,53,45,31,18,14,6,4,3.820895,I thought of people and the jobs they do,p,32.16505,0,0,0,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,animal,ant,ape,allow,aardvark,antelope,agree,ask,ate,alone,all,apple,appliance,83,82,79,77,73,69,61,58,55,53,51,45,38,5,2.628085,thought of the second letter then words popped in,j,1.990285,0,1,1,4,1,Words that start with A,Phonemic,j,attitude,altitude,art,age,ale,aim,air,31,24,18,12,8,4,0,,,,,,,,,,,,,,,,
,,,,,,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,stuff,state,stein,stare,stall,steal,stole,style,steam,stare,star,slap,slate,85,83,81,79,74,72,69,67,64,63,60,57,55,3,3.453715,words just poooped in,p,1.437825,0,2,2,5,1,Words that start with S,Phonemic,p,solo,sample,simple,staid,share,shape,sheet,50,44,43,38,34,32,29,shear,shame,sirte,sire,soar,sore,smile,smoke,25,19,16,14,12,10,4,1
,,,,,,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tiger,lion,dog,cat,bear,horse,frog,dolphin,shark,wolf,wolverine,moose,elk,87,85,84,83,81,79,75,73,72,66,63,56,53,5,2.02266,just thought of famrs and zoos,j,2.142085,0,3,3,6,1,Animals,Semantic,j,deer,antelope,alpaca,gnu,mule,cow,pig,52,50,44,34,28,26,24,sheep,skunk,,,,,,,20,7,,,,,,
,,,,,,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,baseball,cricket,football,soccer,basketball,tennis,bowling,skiing,hockey,lacrosse,curling,golf,,84,82,79,77,72,71,69,66,60,58,32,29,,6,0.80565,thought od sports on tv and such,j,1.65429,0,4,4,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,table,fork,spoon,plates,waiters,busboys,chairs,napkins,tray,condiments,knives,menus,,87,86,85,83,81,78,68,66,46,44,42,18,,6,0.52117,envisioned a restaurant in my mind,p,1.704405,0,5,5,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OB6REG5CGHK1,001,2020-07-27_16h50.12.705,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fair,far,fare,flame,fill,feel,fear,feat,feet,frame,fort,flow,flaw,86,85,83,81,79,78,76,73,72,61,60,58,55,4,1.213215,words just came into my head,p,1.647995,0,6,6,3,1,Words that start with F,Phonemic,p,floral,flower,fate,father,follow,fallow,flip,46,44,34,31,27,26,17,flipper,flossfrugal,,,,,,,14,5,,,,,,
