consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word32,rt_32
0,0,0,0,1,Consent1.png,A15J42M6EC7Y1K,001,2020-07-27_16h50.25.280,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A15J42M6EC7Y1K,001,2020-07-27_16h50.25.280,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A15J42M6EC7Y1K,001,2020-07-27_16h50.25.280,Fluency_Task,2020.1.2,MacIntel,60,space,0.829235,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A15J42M6EC7Y1K,001,2020-07-27_16h50.25.280,Fluency_Task,2020.1.2,MacIntel,60,space,8.217385,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A15J42M6EC7Y1K,001,2020-07-27_16h50.25.280,Fluency_Task,2020.1.2,MacIntel,60,space,3.59574,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A15J42M6EC7Y1K,001,2020-07-27_16h50.25.280,Fluency_Task,2020.1.2,MacIntel,60,space,11.99594,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A15J42M6EC7Y1K,001,2020-07-27_16h50.25.280,Fluency_Task,2020.1.2,MacIntel,60,space,7.972865,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A15J42M6EC7Y1K,001,2020-07-27_16h50.25.280,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,1,8.90606,salt,suave,starve,sack,stuck,suck,slack,sat,sit,soft,sank,silt,soil,slave,slant,salve,sloth,sip,ship,slip,snip,skip,stop,slop,slob,snob,snorkle,snow,snail,snake,skate,86,84,81,79,77,74,73,71,70,69,67,65,63,62,61,57,55,52,51,48,46,43,39,31,30,26,23,20,18,12,4,3,6.35882,I mostly thought about the letter S and typed the words that came to mind. I woulf find a word that started with S and then would try to find rhyming words.,p,2.79485,0,0,0,5,1,Words that start with S,Phonemic,p,,
,,,,,,A15J42M6EC7Y1K,001,2020-07-27_16h50.25.280,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,desk,chair,bell,phone,pictures,door,windows,carpet,computer,guests,receptionist,keys,television,credit machine,atm,room service workers,,,,,,,,,,,,,,,,86,84,83,82,78,76,75,72,70,68,65,62,53,46,42,16,,,,,,,,,,,,,,,,6,22.692735,"I tried to picture myself standing in a hotel lobby looking around. After naming the obvious things, I tried to get creative and think of what is generally found in hotels.",j,1.61234,0,1,1,2,1,Things in a Hotel Lobby,Spatial,j,,
,,,,,,A15J42M6EC7Y1K,001,2020-07-27_16h50.25.280,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,sloth,lion,tiger,zebra,dog,cat,snail,bat,bird,ferret,raccoon,possum,snake,spider,fox,wolf,deer,bear,elk,moose,turtle,fish,whale,shark,eel,starfish,monkey,chimpanzee,gorilla,mouse,rat,85,84,83,81,80,79,78,77,75,72,60,58,55,52,51,49,47,45,43,41,39,38,36,33,32,28,23,18,15,11,9,2,3.225715,"I tried to think of all the animals that popped into my head first but then found that I should focus on animals that live in my area. After I exhausted this list, I started to think of animals by biome.",j,1.264185,0,2,2,6,1,Animals,Semantic,j,giraffe,1
