consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,rt_32,rt_33,rt_34,rt_35,rt_36,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word37,word38,word39,word40,word41,word42,rt_37,rt_38,rt_39,rt_40,rt_41,rt_42,word43,word44,word45,word46,rt_43,rt_44,rt_45,rt_46
0,0,0,0,1,Consent1.png,A2YVC1U50H2B4R,001,2020-07-27_16h51.12.153,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2YVC1U50H2B4R,001,2020-07-27_16h51.12.153,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2YVC1U50H2B4R,001,2020-07-27_16h51.12.153,Fluency_Task,2020.1.2,Win32,60,space,0.75498,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2YVC1U50H2B4R,001,2020-07-27_16h51.12.153,Fluency_Task,2020.1.2,Win32,60,space,13.484925,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2YVC1U50H2B4R,001,2020-07-27_16h51.12.153,Fluency_Task,2020.1.2,Win32,60,space,2.227185,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2YVC1U50H2B4R,001,2020-07-27_16h51.12.153,Fluency_Task,2020.1.2,Win32,60,space,1.304915,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2YVC1U50H2B4R,001,2020-07-27_16h51.12.153,Fluency_Task,2020.1.2,Win32,60,space,4.534835,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2YVC1U50H2B4R,001,2020-07-27_16h51.12.153,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,2.154135,apple,apricot,aristocrt,arrogant,anxious,adrenaline,appear,antsy,architect,archetype,alive,alone,able,apt,apparent,ahem,audio,audible,anticipate,airtight,air,alligator,aqua,art,ant,aptitude,ability,amplify,abs,are,ace,aim,age,ale,ail,awe,88,85,84,81,79,78,75,73,70,68,65,64,63,61,60,57,55,54,52,49,48,43,39,35,33,29,23,22,20,17,14,13,9,7,6,2,1,1.3089,I just bounced off of each word and what letters after it could come up with.,rshift,0.0585,0,0,0,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,,,,
,,,,,,A2YVC1U50H2B4R,001,2020-07-27_16h51.12.153,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,flower,fill,fragile,fail,fame,famous,faint,fine,fin,fire,fit,fight,fly,flier,fizz,foil,foam,fun,fund,flub,foot,fear,frozen,freeze,flop,five,fib,face,fang,fade,flew,few,fix,freedom,fake,fore,88,87,87,85,82,81,80,79,76,75,75,73,72,71,69,67,66,64,63,61,60,58,55,53,51,49,48,46,43,41,38,32,28,24,21,17,1,1.18692,I just looked at different letters and tried to figure out what words used them that started with f.,rshift,0.11531,0,1,1,3,1,Words that start with F,Phonemic,p,found,find,frame,fright,flap,flee,15,14,10,7,5,2,,,,,,,,
,,,,,,A2YVC1U50H2B4R,001,2020-07-27_16h51.12.153,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,toys,boxes,garbage,tools,motorcycle,dog crate,lawnmower,leafblower,snow blower,pantry items,weedkiller,oil,ladder,bicycles,christmas tree,door,bricks,gardening supplies,donation clothes,fire extinguisher,,,,,,,,,,,,,,,,89,87,86,84,83,78,75,71,69,65,60,55,52,48,46,44,37,33,28,21,16,,,,,,,,,,,,,,,,4,2.04319,I tried visualizing my own garage.,j,1.270105,0,2,2,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,,,
,,,,,,A2YVC1U50H2B4R,001,2020-07-27_16h51.12.153,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,soccer,football,tennis,judo,karate,swimming,polo,horse racing,lacrosse,hockey,basketball,ballet,rock climbing,,,,,,,,,,,,,,,,,,,,,,,,88,87,87,83,82,77,75,72,67,62,58,39,25,,,,,,,,,,,,,,,,,,,,,,,,2,2.46614,I just tried thinking about college sports,rshift,0.064815,0,3,3,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,,,
