consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,rt_32,rt_33,rt_34,rt_35,rt_36,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET
0,0,0,0,1,Consent1.png,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,space,2.40204,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,space,18.132935,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,space,28.410395,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,space,13.685815,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,space,25.98941,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,12.50763,snake,start,sleep,soldier,salmon,sardine,sandwich,sloppy,slope,slang,sea,see,seat,seem,seal,steam,stream,straight,strange,strangle,space,speak,spoon,sporadic,spin,spam,spell,soap,soon,sorry,some,sold,steal,steep,staple,step,84,82,80,78,76,74,71,69,67,65,63,61,60,58,53,51,49,46,42,40,37,36,34,31,28,24,20,19,17,16,14,12,8,7,5,1,2,10.4344,It was random at the start. Then I started to think of words that have similar spelling.,p,2.17292,0,0,0,5,1,Words that start with S,Phonemic,p
,,,,,,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,football,hockey,player,goal,basketbal,baseball,polo,volleyball,badminton,ping pong,soccer,fencing,wrestling,puck,referee,stadium,baseball field,pigskin,coach,champions,,,,,,,,,,,,,,,,,82,81,79,78,76,72,70,65,59,57,55,51,46,42,39,30,15,8,5,1,,,,,,,,,,,,,,,,,5,13.08015,"I try to think of different kind of sports, and then items that associated with each sport",j,1.996005,0,1,1,8,1,Sports,Semantic,j
,,,,,,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,chair,table,food,patio,waiter,manager,owner,washroom,cook,order,menu,apron,vegetable,painting,cash register,door,business hour sign,meat,fridge,oven,microwave,,,,,,,,,,,,,,,,87,85,84,80,77,75,72,67,65,62,60,58,52,47,43,26,22,14,8,6,4,,,,,,,,,,,,,,,,6,7.394215,I pictured myself in the restaurant.,p,1.354775,0,2,2,1,1,Things in a Restaurant,Spatial,p
,,,,,,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bell,computer,couch,seat,chair,table,refreshment,concierge,carpe,lights,lamp,tv,guests,,,,,,,,,,,,,,,,,,,,,,,,85,81,76,72,70,69,62,58,56,49,47,35,19,,,,,,,,,,,,,,,,,,,,,,,,7,5.888435,I pictured myself sitting in the lobby and imagine items that I would see in the area.,j,1.142745,0,3,3,2,1,Things in a Hotel Lobby,Spatial,j
,,,,,,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,apricot,air,abomination,abdomen,abortion,all,airplane,amnesty,artifact,art,archer,affordable,apparent,amicable,annual,,,,,,,,,,,,,,,,,,,,,87,84,83,78,73,70,66,57,48,43,42,39,32,29,17,1,,,,,,,,,,,,,,,,,,,,,6,3.97557,I just typed what came into my mind.,j,1.310535,0,4,4,4,1,Words that start with A,Phonemic,j
,,,,,,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,banker,policeman,fireman,mayor,waiter,astronaut,clerk,salesperson,bartender,garbageman,artist,librarian,security guard,manager,,,,,,,,,,,,,,,,,,,,,,,85,81,79,78,68,56,50,45,39,31,22,12,6,1,,,,,,,,,,,,,,,,,,,,,,,7,6.853085,I just typed what came in my head.,p,1.798495,0,5,5,7,1,Occupations,Semantic,p
,,,,,,AGQKBH53S12SZ,001,2020-07-27_17h02.29.410,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,lawnmower,shovel,wrench,hammer,ladder,bike,motorcycle,rake,hoe,soil,garbage bags,tires,door,screwdriver,snowblower,skateboard,wrench,,,,,,,,,,,,,,,,,,,86,81,79,77,76,73,70,67,64,61,51,48,42,34,24,15,7,3,,,,,,,,,,,,,,,,,,,6,4.509565,I imagined myself in the garage.,j,2.063565,0,6,6,0,1,Things in a Garage,Spatial,j
