consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word9,word10,word11,word12,word13,word14,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,word15,rt_15,word16,rt_16
0,0,0,0,1,Consent1.png,AEPK3O2LS94OG,001,2020-07-27_17h04.18.098,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AEPK3O2LS94OG,001,2020-07-27_17h04.18.098,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEPK3O2LS94OG,001,2020-07-27_17h04.18.098,Fluency_Task,2020.1.2,Win32,60,space,2.688845,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEPK3O2LS94OG,001,2020-07-27_17h04.18.098,Fluency_Task,2020.1.2,Win32,60,space,31.807745,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEPK3O2LS94OG,001,2020-07-27_17h04.18.098,Fluency_Task,2020.1.2,Win32,60,space,17.995965,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEPK3O2LS94OG,001,2020-07-27_17h04.18.098,Fluency_Task,2020.1.2,Win32,60,space,17.146555,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEPK3O2LS94OG,001,2020-07-27_17h04.18.098,Fluency_Task,2020.1.2,Win32,60,space,6.672825,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEPK3O2LS94OG,001,2020-07-27_17h04.18.098,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,17.57891,garage item,ladder,a garden house,garbage cans,extra motor oil,old plant cans,a claw hammer,work cloves,68,50,42,34,27,17,8,3,5,6.33865,its really available catagories to all essential for peoples ireally enjoyed it,j,5.50649,0,0,0,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,
,,,,,,AEPK3O2LS94OG,001,2020-07-27_17h04.18.098,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,ant,animals,aunty,anger,antony,animation,abashed,61,60,57,54,52,46,41,37,3,3.533685,its really nice experience to me good,j,2.22691,0,1,1,4,1,Words that start with A,Phonemic,j,abate,active,agree,affirm,adopt,abide,33,22,18,13,9,2,,,,
,,,,,,AEPK3O2LS94OG,001,2020-07-27_17h04.18.098,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,salmon,soil,sand,sugar,suflower,shaddow,sarrow,sunrice,83,77,74,70,66,43,40,35,3,3.38135,its nice task,p,2.213365,0,2,2,5,1,Words that start with S,Phonemic,p,ssalvo,samaritan,soul,,,,18,12,4,,,,,,,
,,,,,,AEPK3O2LS94OG,001,2020-07-27_17h04.18.098,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,volley ball,cricket,tennis,hockey,rellay,running,athlet,shotput,81,78,73,70,66,62,56,52,1,2.037975,nice  task,j,2.56867,0,3,3,8,1,Sports,Semantic,j,discuss,golf,judo,takondo,marathon,long jump,48,41,35,25,17,9,high jump,5,,
,,,,,,AEPK3O2LS94OG,001,2020-07-27_17h04.18.098,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,finance,hospitality,tourism,human services,business,management,information technology,manufacturing,58,52,50,43,37,33,23,18,3,1.746865,nice task,p,1.634965,0,4,4,7,1,Occupations,Semantic,p,health  science,,,,,,8,,,,,,,,,
,,,,,,AEPK3O2LS94OG,001,2020-07-27_17h04.18.098,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,rat,cat,dog,lion,tiger,deer,bear,zeebta,86,83,82,77,74,71,69,61,1,7.418775,nice task,j,3.25706,0,5,5,6,1,Animals,Semantic,j,elephant,ziraffee,mangoose,monkey,big,sqril,47,40,35,33,29,19,fox,11,,
