consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word22,word23,rt_22,rt_23
0,0,0,0,1,Consent1.png,A2Q3FS9G8ITCN7,001,2020-07-27_17h17.23.726,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2Q3FS9G8ITCN7,001,2020-07-27_17h17.23.726,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2Q3FS9G8ITCN7,001,2020-07-27_17h17.23.726,Fluency_Task,2020.1.2,Win32,60,space,1.39359,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2Q3FS9G8ITCN7,001,2020-07-27_17h17.23.726,Fluency_Task,2020.1.2,Win32,60,space,13.68727,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2Q3FS9G8ITCN7,001,2020-07-27_17h17.23.726,Fluency_Task,2020.1.2,Win32,60,space,14.23663,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2Q3FS9G8ITCN7,001,2020-07-27_17h17.23.726,Fluency_Task,2020.1.2,Win32,60,space,27.16328,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2Q3FS9G8ITCN7,001,2020-07-27_17h17.23.726,Fluency_Task,2020.1.2,Win32,60,space,16.500805,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2Q3FS9G8ITCN7,001,2020-07-27_17h17.23.726,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,7.24775,elephant,zebra,tiger,lion,cheetah,kangaroo,giraffe,bear,monkey,gorilla,ape,cat,dog,bird,chameleon,hamster,cow,pig,duck,chicken,elk,82,78,74,73,70,66,62,59,52,48,46,44,43,41,30,25,19,17,15,11,2,1,3.12482,"I first thought of zoo animals, then domestic animals, then pets, then farm animals.",space,3.63084,0,0,0,6,1,Animals,Semantic,j,,,,
,,,,,,A2Q3FS9G8ITCN7,001,2020-07-27_17h17.23.726,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,gas,hose,garden cart,tools,balls,storage tubs,refrigerator,deep freezer,shoes,snow gear,toys,rake,shovel,hoe,toolbox,table,,,,,81,80,77,71,69,67,56,52,45,42,37,33,24,22,19,9,4,,,,,3,2.82501,I thought of things that are in my garage.,j,4.532575,0,1,1,0,1,Things in a Garage,Spatial,j,,,,
,,,,,,A2Q3FS9G8ITCN7,001,2020-07-27_17h17.23.726,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,salmon,salsa,sausage,salami,silver,saucer,save,serve,sleep,scream,serial,stump,sterile,surgery,sucker,summer,,,,,,82,79,74,72,64,61,56,54,50,45,42,36,30,27,22,17,,,,,,5,4.52865,I tried to picture things around me or that I have encountered recently.,p,1.87798,0,2,2,5,1,Words that start with S,Phonemic,p,,,,
