consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word10,word11,rt_10,rt_11,word12,word13,word14,rt_12,rt_13,rt_14
0,0,0,0,1,Consent1.png,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,space,1.47,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,space,27.112,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,space,18.744,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,space,17.398,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,space,9.408,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,7.268,engineer,cool,gardener,fireman,painter,plumber,teacher,soldier,doctor,64,61,47,41,29,23,16,10,4,5,7.298,i thought about the occupation of people in general,p,3.225,0,0,0,7,1,Occupations,Semantic,p,,,,,,,,,,
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cup,plate,fork,glass,chair,table,,,,69,66,61,53,15,11,,,,5,2.734,i thought about a typical restaurant,p,1.595,0,1,1,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,chair,table,desk,computer,note,,,,,79,75,70,64,21,,,,,5,2.318,i thought about a normal lobby.,j,2.015,0,2,2,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fit,forget,fall,film,fork,foul,famous,fat,fantasy,84,80,77,75,72,69,64,53,32,5,3.134,i thogt about general words,p,1.667,0,3,3,3,1,Words that start with F,Phonemic,p,face,find,15,6,,,,,,
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,baseball,football,rugby,cricket,motocross,badminton,tennis,volley ball,basket ball,82,77,74,67,56,44,40,26,20,4,1.914,i thought about the famous games world wide,j,1.588,0,4,4,8,1,Sports,Semantic,j,,,,,,,,,,
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,hammer,ladder,paint cans,gloves,garbage cas,screwdrivers,power tools,wrench,,69,65,59,55,45,17,8,2,,6,3.472,i thought of things in my garage,j,1.979,0,5,5,0,1,Things in a Garage,Spatial,j,,,,,,,,,,
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tiger,lion,cow,sheep,snake,dog,cat,lizzard,fish,85,81,79,75,71,67,65,58,42,3,2.257,i thought of animals which i see in zoo,j,2.548,0,6,6,6,1,Animals,Semantic,j,monkey,giraffe,34,20,bear,elephant,mouse,10,4,1
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,singer,site,sales,sound,street,sit,,,,83,79,75,72,64,60,,,,6,58.963,i thought about the general names,p,1.833,0,7,7,5,1,Words that start with S,Phonemic,p,,,,,,,,,,
,,,,,,A3OVBNOFPMCDAS,001,2020-07-27_17h22.04.365,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ask,about,abstract,abroad,account,above,active,admiration,,78,32,27,24,20,16,8,4,,4,34.338,i thought about words with letter a,j,2.075,0,8,8,4,1,Words that start with A,Phonemic,j,,,,,,,,,,
