consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,rt_1,rt_2,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word3,word4,rt_3,rt_4,rt_5,word5,word6,rt_6
0,0,0,0,1,Consent1.png,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,space,3.938,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,space,12.526,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,space,26.691,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,space,17.588,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,space,9.938,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,47.856,t,door,44,9,7,13.888,,j,3.505,0,0,0,0,1,Things in a Garage,Spatial,j,,,,,,,,
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,animal,82,60,3,18.93,,j,2.089,0,1,1,4,1,Words that start with A,Phonemic,j,and,ant,22,6,0,,,
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,stop,soap,77,65,1,9.673,,p,3.034,0,2,2,5,1,Words that start with S,Phonemic,p,sorry,such,23,13,5,start,,
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,full,form,81,74,1,5.297,,p,2.152,0,3,3,3,1,Words that start with F,Phonemic,p,from,for,67,61,51,food,former,13
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,former,weaver,72,60,4,5.194,,p,2.916,0,4,4,7,1,Occupations,Semantic,p,supermarket,,3,,,,,
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,alief,,70,,7,2.959,,p,1.37,0,5,5,1,1,Things in a Restaurant,Spatial,p,,,,,,,,
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog,cat,77,72,2,2.68,,j,2.15,0,6,6,6,1,Animals,Semantic,j,mouse,lion,52,38,18,horse,,
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,paris,,3,,6,3.94,,j,2.433,0,7,7,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,
,,,,,,A2VC5MIIEWTLGY,001,2020-07-27_17h26.50.074,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cricket,foodball,73,41,6,3.601,,j,2.495,0,8,8,8,1,Sports,Semantic,j,baseball,,16,,,,,
