consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word25,rt_25,word26,word27,word28,word29,word30,word31,word32,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,rt_32
0,0,0,0,1,Consent1.png,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,space,1.378465,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,space,12.491535,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,space,7.88926,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,space,18.248085,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,space,7.690035,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,7.038235,giraffe,cat,cow,camel,deer,fox,squirrel,panda,lion,zebra,puma,jaguar,mountain lion,antelope,elephant,monkey,raccoon,kangaroo,hippo,boar,pig,horse,donkey,crocodile,83,82,80,79,77,75,71,68,66,64,62,60,54,49,46,44,40,35,29,24,23,20,15,6,3,4.191005,"I tried to think of common animals that are seen in the US or else kept as pets. Then I tried to recall those typically seen in zoos, followed by those well known in other parts of the world.",j,3.75814,0,0,0,6,1,Animals,Semantic,j,,,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,nurse,doctor,postman,receptionist,lawyer,doctor,accountan,accountant,engineer,train conductor,taxi driver,pilot,banker,hairdresser,actor,makeup artist,artist,nutritionist,designer,museum curator,,,,,87,84,76,71,70,68,65,61,59,51,47,45,41,30,29,23,21,17,13,3,,,,,6,2.834195,"I thought of popular fields of study that have existed for some time and that are usually admired.Following that, I thought of occupations that are currently at the forefront of today's society and during the pandemic. ",p,1.54462,0,1,1,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,soccer,football,tennis,skiing,racquetball,squash,golf,basketball,cross country running,swimming,diving,netball,ping pong,javelin,pole vault,gymnastics,,,,,,,,,86,84,82,79,75,70,69,62,51,49,40,33,25,16,10,7,,,,,,,,,6,2.16577,"I thought of sports that I have played or know people who play, then I considered Olympic sports. ",j,1.500625,0,2,2,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,paint,snow blower,cars,boat,skiis,surfboard,chairs,toolbox,trashcan,shelf,boxes,rake,broom,lawnmower,nails,rugs,door,handle,,,,,,,86,77,74,72,70,66,64,57,51,48,41,36,34,28,21,14,11,8,,,,,,,7,1.65885,I tried to remember things that I kept in my own garage when I had one. Then I tried to recall things I had seen in the garages of others such as friends and family members. ,j,2.45584,0,3,3,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,concierge,coffee machine,luggage rack,front desk,welcome sign,kiosk,sofa,chairs,mirrors,rugs,elevator,employees,paintings,line rope,phone,paper,pens,coffee cups,,,,,,,86,82,78,75,72,69,67,64,59,53,49,42,32,20,15,11,10,3,,,,,,,5,2.20243,I tried to remember things I tend to see when staying at hotels.,j,1.24779,0,4,4,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tables,chairs,menus,napkins,utensils,pitchers,tvs,bar,tablecloth,check pad,credit card machine,chef,apron,pen,notepads,signs,bathrooms,stage,limes,lemons,cocktails,food,servers,,85,83,81,79,76,73,70,67,62,57,50,48,46,43,40,33,30,24,15,12,8,6,2,,3,2.00651,I pictured myself at my last restaurant visit and tried to hone in on items that I could recall seeing or touching and using.,p,1.31377,0,5,5,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,ant,aerial,apron,albratross ,alabaster,acne,arch,alter,appear,attrition,atrophy,ate,allow,ape,anteater,amaze,atrium,aha,,,,,,86,84,82,79,74,69,67,59,57,49,44,41,40,38,36,29,23,11,3,3,,,,,4,2.205145,I thought of words that initially came to me and then tried to link with words in similar categories.,j,1.56578,0,6,6,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,freedom,friendship,first,fast,final,finer,flagrant,falter,fastener,fib,fig,flatulence,fried,fresh,fall,filter,fish,fir,f,fur,frame,fake,figre,figure,86,82,81,79,77,72,65,63,58,55,52,48,45,43,35,27,24,21,19,16,12,10,5,2,6,4.466715,I thought of random words and then worked  in related words to those. ,p,1.22125,0,7,7,3,1,Words that start with F,Phonemic,p,figurine,0,,,,,,,,,,,,,,
,,,,,,ANCCKNF1DKRZO,001,2020-07-27_17h37.52.274,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,seem,seminal,semi,start,sofa,section,sorry,same,ski,skate,signal,stop,serial,series,soul,slate,slather,slime,soon,soup,spoon,spool,sport,spirit,85,83,80,79,78,76,73,71,68,67,65,63,59,55,51,48,46,44,40,38,36,35,31,27,1,1.717865,"I thought of random words, then worked through alphabet for second letter of s words, adding related words as I went along.",p,1.249635,0,8,8,5,1,Words that start with S,Phonemic,p,squirt,25,squirrel,same,sing,signal,smoke,smoothe,sail,21,16,11,8,7,3,1
