consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word10,word11,word12,word13,word14,rt_10,rt_11,rt_12,rt_13,rt_14,word15,word16,word17,word18,rt_15,rt_16,rt_17,rt_18,word19,word20,word21,word22,word23,word24,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,word25,word26,word27,rt_25,rt_26,rt_27,word28,rt_28
0,0,0,0,1,Consent1.png,ANIXZ1PSXQ297,001,2020-07-27_17h53.16.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,ANIXZ1PSXQ297,001,2020-07-27_17h53.16.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANIXZ1PSXQ297,001,2020-07-27_17h53.16.024,Fluency_Task,2020.1.2,Win32,60,space,5.194065,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANIXZ1PSXQ297,001,2020-07-27_17h53.16.024,Fluency_Task,2020.1.2,Win32,60,space,1.451355,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANIXZ1PSXQ297,001,2020-07-27_17h53.16.024,Fluency_Task,2020.1.2,Win32,60,space,2.89404,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANIXZ1PSXQ297,001,2020-07-27_17h53.16.024,Fluency_Task,2020.1.2,Win32,60,space,0.759785,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANIXZ1PSXQ297,001,2020-07-27_17h53.16.024,Fluency_Task,2020.1.2,Win32,60,space,0.84804,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANIXZ1PSXQ297,001,2020-07-27_17h53.16.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,2,80.37604,flute,fan,food,face,fact,fat,fail,factory,for,59,42,39,25,16,14,12,8,4,5,8.14198,very nice thinking and very difficult to me ,p,3.358705,0,0,0,3,1,Words that start with F,Phonemic,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANIXZ1PSXQ297,001,2020-07-27_17h53.16.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,pen,pots,flowerpots,table,chair,bills,system,lights,lambs,78,66,61,58,56,44,32,23,21,4,4.85822,nice thinking and this is very east to me,j,2.61836,0,1,1,2,1,Things in a Hotel Lobby,Spatial,j,fans,ac,creting,wifi,water,19,16,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANIXZ1PSXQ297,001,2020-07-27_17h53.16.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,lion,tiger,beer,bear,wolf,fox,amke,camel,dog,78,75,73,71,69,67,59,55,54,7,2.190115,very easy to thinking and very nice,j,2.427865,0,2,2,6,1,Animals,Semantic,j,cat,lepord,elepants,ox,cow,51,40,28,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
