consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word5,word6,word7,word8,rt_8
0,0,0,0,1,Consent1.png,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,space,3.30166,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,space,2.420195,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,space,562.44842,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,space,19.935565,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,space,3.928555,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,4,113.39092,apple ,tuy,any,ant,53,46,43,31,28,13,12,2,19.45828,num_5,j,2.88817,0,0,0,4,1,Words that start with A,Phonemic,j,,,,,
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,yes,,,,11,,,,,,,3,46.35534,good,j,10.08152,0,1,1,2,1,Things in a Hotel Lobby,Spatial,j,,,,,
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,table,chair,air cooler,light,81,75,50,15,4,,,4,6.740245,,p,1.62345,0,2,2,1,1,Things in a Restaurant,Spatial,p,wash room,,,,
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cricket  ,football,tennis,basketball,76,71,65,53,49,41,27,4,6.698445,,j,2.26407,0,3,3,8,1,Sports,Semantic,j,chess,carmboard,hockey,table tennis,13
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,lion,tiger,,,86,81,,,,,,2,2.91494,,j,2.417475,0,4,4,6,1,Animals,Semantic,j,,,,,
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,docter ,engineer,solider,dancer,27,13,7,2,,,,4,2.360845,,p,1.8085,0,5,5,7,1,Occupations,Semantic,p,,,,,
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fun,full time,function,family,82,73,64,59,52,18,12,4,2.58079,,p,1.376165,0,6,6,3,1,Words that start with F,Phonemic,p,friends,face,fat,fair,7
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,door opeaner,think you should never store,garage cooling hacks,,51,25,9,,,,,4,2.965755,,j,6.907365,0,7,7,0,1,Things in a Garage,Spatial,j,,,,,
,,,,,,A2PB9WZ8FNE1X8,001,2020-07-27_18h31.50.437,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sun,site,self respect,shake,85,58,38,30,22,11,6,4,2.183895,,p,1.36866,0,8,8,5,1,Words that start with S,Phonemic,p,syntax,sun flower,sunday,,
