consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET
0,0,0,0,1,Consent1.png,A1V1JNPU0KOA3X,001,2020-07-27_18h37.54.808,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1V1JNPU0KOA3X,001,2020-07-27_18h37.54.808,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1V1JNPU0KOA3X,001,2020-07-27_18h37.54.808,Fluency_Task,2020.1.2,Win32,60,space,2.56031,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1V1JNPU0KOA3X,001,2020-07-27_18h37.54.808,Fluency_Task,2020.1.2,Win32,60,space,21.536225,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1V1JNPU0KOA3X,001,2020-07-27_18h37.54.808,Fluency_Task,2020.1.2,Win32,60,space,11.44623,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1V1JNPU0KOA3X,001,2020-07-27_18h37.54.808,Fluency_Task,2020.1.2,Win32,60,space,30.906525,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1V1JNPU0KOA3X,001,2020-07-27_18h37.54.808,Fluency_Task,2020.1.2,Win32,60,space,20.454,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1V1JNPU0KOA3X,001,2020-07-27_18h37.54.808,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,4.91715,sin,state,southern,sandwich,steak,shark,sew,stain,stern,ship,shape,shin,severe,said,sing,stripe,strap,saint,83,80,76,71,67,64,59,54,51,47,44,39,35,31,27,21,17,4,2,7.794245,"There are many words that begin with this letter, so I made the S sound and wrote down the word that came into my head.",p,5.96072,0,0,0,5,1,Words that start with S,Phonemic,p
,,,,,,A1V1JNPU0KOA3X,001,2020-07-27_18h37.54.808,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fire,fist,fang,flirt,flank,fast,finish,fink,flint,famish,food,foot,freak,fine,fort,frame,,,81,77,73,67,63,58,52,49,42,35,32,29,22,15,6,2,,,3,6.19976,I made an f sound with my mouth and wrote down the words that came to mind.,p,3.762755,0,1,1,3,1,Words that start with F,Phonemic,p
,,,,,,A1V1JNPU0KOA3X,001,2020-07-27_18h37.54.808,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,angel,ace,act,apple,anniliate,amp,ampersand,artery,arm,any,ant,aunt,aim,,,,,,83,81,77,73,65,47,42,32,27,21,18,15,9,,,,,,3,4.206835,I tried to think of 'a' words by sounding them out.,j,3.13411,0,2,2,4,1,Words that start with A,Phonemic,j
