consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,rt_16,word16,word17,word18,rt_17,rt_18
0,0,0,0,1,Consent1.png,A3NEJLDF75PC11,001,2020-07-27_18h44.15.982,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3NEJLDF75PC11,001,2020-07-27_18h44.15.982,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3NEJLDF75PC11,001,2020-07-27_18h44.15.982,Fluency_Task,2020.1.2,Win32,60,space,0.779075,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3NEJLDF75PC11,001,2020-07-27_18h44.15.982,Fluency_Task,2020.1.2,Win32,60,space,0.691845,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3NEJLDF75PC11,001,2020-07-27_18h44.15.982,Fluency_Task,2020.1.2,Win32,60,space,1.14489,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3NEJLDF75PC11,001,2020-07-27_18h44.15.982,Fluency_Task,2020.1.2,Win32,60,space,0.55447,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3NEJLDF75PC11,001,2020-07-27_18h44.15.982,Fluency_Task,2020.1.2,Win32,60,space,0.89949,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3NEJLDF75PC11,001,2020-07-27_18h44.15.982,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,3.51048,food ball,base ball,volley ball,cricket,throw ball,hockey,kabadi,swimming,carrom,chess,tennis,batmitton,boxing,judo,wrestling,84,80,72,68,59,56,53,50,46,44,41,27,22,16,6,2,1.83657,i thought i am in the sports event,j,1.900195,0,0,0,8,1,Sports,Semantic,j,,,,,,
,,,,,,A3NEJLDF75PC11,001,2020-07-27_18h44.15.982,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,rat ,cat,dog,elephant,ant,lion,tiger,rabbit,fox,crocodile,zebra,cheeta,beer,dear,,83,82,80,74,73,70,65,60,56,48,45,33,12,10,,3,5.37475,i thought i am in the zoo,j,1.404215,0,1,1,6,1,Animals,Semantic,j,,,,,,
,,,,,,A3NEJLDF75PC11,001,2020-07-27_18h44.15.982,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,paint cans,work gloves,garden tools,mechanical tools,oil cans,ladder,stools,pipes,battery,,,,,,,67,61,52,42,33,27,22,17,1,,,,,,,4,2.174745,i think i am in the garage,j,1.41169,0,2,2,0,1,Things in a Garage,Spatial,j,,,,,,
