consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word17,word18,word19,word20,word21,word22,word23,word24,word25,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25
0,0,0,0,1,Consent1.png,A1O0BGHFTMPQM0,001,2020-07-27_19h18.31.834,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1O0BGHFTMPQM0,001,2020-07-27_19h18.31.834,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1O0BGHFTMPQM0,001,2020-07-27_19h18.31.834,Fluency_Task,2020.1.2,MacIntel,60,space,1.299,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1O0BGHFTMPQM0,001,2020-07-27_19h18.31.834,Fluency_Task,2020.1.2,MacIntel,60,space,9.467,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1O0BGHFTMPQM0,001,2020-07-27_19h18.31.834,Fluency_Task,2020.1.2,MacIntel,60,space,4.881,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1O0BGHFTMPQM0,001,2020-07-27_19h18.31.834,Fluency_Task,2020.1.2,MacIntel,60,space,12.027,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1O0BGHFTMPQM0,001,2020-07-27_19h18.31.834,Fluency_Task,2020.1.2,MacIntel,60,space,8.106,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1O0BGHFTMPQM0,001,2020-07-27_19h18.31.834,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,3,2.887,soup,samurai,sumo,sake,slug,snake,skunk,snail,slap,snapdragon,sleuth,snob,snot,simple,snog,smog,85,83,81,79,76,73,72,69,67,59,54,50,49,21,12,8,3,2.861,I just typed the first words that came to m y head.,p,2.219,0,0,0,5,1,Words that start with S,Phonemic,p,,,,,,,,,,,,,,,,,,
,,,,,,A1O0BGHFTMPQM0,001,2020-07-27_19h18.31.834,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,table,menu,glasses,water,wine,soda,plate,fork,knive,spoon,waiter,chef,hostess,bar,bartender,beer,86,85,83,81,79,77,74,70,68,66,65,60,58,57,54,52,2,2.225,I imagined walking into a restaurant and thinking about what I see.,p,4.721,0,1,1,1,1,Things in a Restaurant,Spatial,p,appetizer,dessert,salad,pasta,beef,chicken,chair,booth,tea,50,47,45,43,41,38,35,33,9
,,,,,,A1O0BGHFTMPQM0,001,2020-07-27_19h18.31.834,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,doctor,lawyer,teacher,engineer,tv show host,nurse,physical therapist,receptionist,computer programmer,musician,actor,dancer,carpenter,electrician,plumber,seamstress,86,84,83,81,72,69,63,61,50,44,42,41,33,30,27,22,2,1.87,I thought a lot about the jobs that people I know have.,p,1.138,0,2,2,7,1,Occupations,Semantic,p,farmer,construction worker,builder,,,,,,,19,10,7,,,,,,
,,,,,,A1O0BGHFTMPQM0,001,2020-07-27_19h18.31.834,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,fan,fun,fair,fling,fart,fast,far,fear,flap,flea,,,,,,,86,85,79,73,70,68,66,64,58,41,,,,,,,5,1.707,I just typed the first thing that came to my head.,p,0.993,0,3,3,3,1,Words that start with F,Phonemic,p,,,,,,,,,,,,,,,,,,
