consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word11,word12,word13,word14,word15,word16,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,word17,rt_17,word18,word19,rt_18,rt_19
0,0,0,0,1,Consent1.png,A1JM5XNB4NCZR6,001,2020-07-27_19h24.38.383,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1JM5XNB4NCZR6,001,2020-07-27_19h24.38.383,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1JM5XNB4NCZR6,001,2020-07-27_19h24.38.383,Fluency_Task,2020.1.2,Win32,60,space,1.973025,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1JM5XNB4NCZR6,001,2020-07-27_19h24.38.383,Fluency_Task,2020.1.2,Win32,60,space,15.205675,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1JM5XNB4NCZR6,001,2020-07-27_19h24.38.383,Fluency_Task,2020.1.2,Win32,60,space,8.89046,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1JM5XNB4NCZR6,001,2020-07-27_19h24.38.383,Fluency_Task,2020.1.2,Win32,60,space,13.183225,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1JM5XNB4NCZR6,001,2020-07-27_19h24.38.383,Fluency_Task,2020.1.2,Win32,60,space,13.11106,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1JM5XNB4NCZR6,001,2020-07-27_19h24.38.383,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,17.265295,scissors,squash,scalpel,spacecraft,sand,scepter,sign,sage,sump,sky,77,71,55,49,42,36,29,25,13,7,4,5.364075,No special method. Whatever came to mind.,p,3.827395,0,0,0,5,1,Words that start with S,Phonemic,p,,,,,,,,,,,,,,,,,,
,,,,,,A1JM5XNB4NCZR6,001,2020-07-27_19h24.38.383,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fire,flag,farm,fig,face,fact,fan,family,fight,fear,83,78,76,72,64,58,54,48,43,39,5,2.375965,Tried to think like a dictionary. Started with vowels.,p,2.046005,0,1,1,3,1,Words that start with F,Phonemic,p,feat,feature,feet,foot,frame,follicle,24,19,16,13,8,1,,,,,,
,,,,,,A1JM5XNB4NCZR6,001,2020-07-27_19h24.38.383,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,desk,chair,key,safe,carpet,window,bellboy,pen,camera,receptionist,84,72,68,66,61,58,52,42,38,30,5,5.743925,Tried to visualize.,j,1.363855,0,2,2,2,1,Things in a Hotel Lobby,Spatial,j,books,hand sanitizer,lights,,,,22,14,4,,,,,,,,,
