consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET
0,0,0,0,1,Consent1.png,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,space,1.1813,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,space,14.64817,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,space,12.77637,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,space,35.49348,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,space,12.36185,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,7.029105,fish,fruit,family,famine,fetish,food,free,friend,fried,fame,fortune,fabulous,frame,fight,fund,fun,fresh,feeling,flame,fan,faint,frothy,frozen,fries,female,fiend,frolic,frantic,fantasy,flea,fee,86,84,83,82,79,78,76,72,71,69,68,65,64,63,61,60,55,48,39,36,34,31,29,24,18,16,14,10,6,4,1,2,4.671995,"I just typed whatever came to my mind. If the previous word reminded me of something else, I typed another word within that same category. ",p,2.28171,0,0,0,3,1,Words that start with F,Phonemic,p
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sleep,slumber,snake,shift,stifle,summer,spring,satisfy,superficial,speed,special,swarm,smother,solid,seafood,spaghetti,squash,secret,safe,shelter,shelf,stable,subordinate,supervisor,sound,staff,sheets,smack,,,,87,85,84,82,79,77,76,73,70,67,64,59,57,55,53,51,45,35,33,28,27,24,21,19,14,8,5,1,,,,1,2.640505,I just typed the first thing that came to mind. I also tried to name as many foods as possible. ,p,2.490905,0,1,1,5,1,Words that start with S,Phonemic,p
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,anonymoly,anonymity,apron,archipelago,anteater,antenna,ample,apex,almond,arch,attempt,abl,able,and,am,amazing,aunt,audacity,ankle,arm,amputate,agitate,,,,,,,,,88,85,81,77,74,67,64,59,55,50,42,40,38,35,34,31,26,24,20,14,13,7,4,,,,,,,,,2,1.60692,I typed the first word I thought of .  I also tried to think of different categories. ,j,3.70964,0,2,2,4,1,Words that start with A,Phonemic,j
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,couch,bellhop,chair,staff,water,cups,flowers,lights,counte,counter,carts,tv,brochures,business cards,maps,,,,,,,,,,,,,,,,,85,83,77,74,72,65,65,58,54,50,47,38,29,18,8,5,,,,,,,,,,,,,,,,3,1.024225,I tried to imagine being at a hotel and looking around at what I saw.,j,1.05763,0,3,3,2,1,Things in a Hotel Lobby,Spatial,j
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,waiters,food,chairs,tables,tablecloths,plates,customers,beverages,bar,restroom,bowls,knives,forks,napkins,computer,,,,,,,,,,,,,,,,,86,84,79,77,74,69,63,53,51,33,27,25,21,17,7,,,,,,,,,,,,,,,,,3,0.649995,I pictured myself at a restaurant.,p,10.60613,0,4,4,1,1,Things in a Restaurant,Spatial,p
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,motorcycle,bicycle,tools,spare tire,jumper cables,motor oil,gas can,,,,,,,,,,,,,,,,,,,,,,,,87,84,82,80,45,41,16,14,,,,,,,,,,,,,,,,,,,,,,,,6,1.89363,I tried to imagine what would be kept in a garage.,j,0.72221,0,5,5,0,1,Things in a Garage,Spatial,j
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,teacher,doctor,therapist,cashier,lawyer,firefighte,firefighter,cop,nurse,accountant,customer service rep,car salesman,florist,janitor,principal,,,,,,,,,,,,,,,,,86,84,80,76,74,61,54,51,45,39,31,22,18,9,4,,,,,,,,,,,,,,,,,4,2.044965,I tried to think of jobs of all different levels ,p,2.218855,0,6,6,7,1,Occupations,Semantic,p
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog,cat,rabbit,sheep,duck,pigeon,flamingo,shark,owl,horse,donkey,ape,babboon,koala,deer,kangaroo,llama,alpaca,,,,,,,,,,,,,,86,85,84,82,81,78,74,71,70,68,67,65,57,53,42,26,21,13,,,,,,,,,,,,,,3,1.44728,"I tried to think of the most common animals, then started thinking about animals in different countries. ",j,0.627215,0,7,7,6,1,Animals,Semantic,j
,,,,,,A39VZ93N96XB6O,001,2020-07-27_19h54.25.827,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,basketbal,basketball,football,soccer,fencing,karate,boxing,judo,kung fu,tae kwon do,tennis,swimming,golf,baseball,hockey,volleyball,bowling,track,wresting,wrestling,kickball,,,,,,,,,,,87,83,80,79,75,73,71,70,68,64,61,59,56,51,49,46,45,40,22,22,19,5,,,,,,,,,,3,1.141885,"I tried to think of all the sports I liked, then I thought of different categories of sports .",j,1.137765,0,8,8,8,1,Sports,Semantic,j
