consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word13,word14,word15,word16,rt_13,rt_14,rt_15,rt_16,word17,word18,word19,word20,word21,word22,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22
0,0,0,0,1,Consent1.png,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,space,1.603055,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,space,14.051565,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,space,13.383325,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,space,14.23816,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,space,16.734915,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,,,,,,,,,1,12.323575,librarian,chef,accountant,teacher,engineer,clerck,doctor,lawyer,judge,governor,policeman,firefighter,78,68,64,60,56,42,36,29,25,21,17,5,3,7.443025,i started thinking in different kind of jobs,p,2.8959,0,0,0,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,,,,,,,
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,,,,,,,,,,,fork,fabric,fancing,fan,family,final,found,fun,festival,feast,fast,frme,85,81,76,73,70,65,56,54,48,40,37,35,4,4.077755,i thought about different itens or feelings,p,1.449465,0,1,1,3,1,Words that start with F,Phonemic,p,frame,force,fabulous,fiber,31,27,18,4,,,,,,,,,,,,
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,,,,,,,,,,,bycicle,car,trash can,boxes,cardboard,mower,broom,recycle bin,chairs,outdoor sofa,umbrella,rope,81,79,73,68,65,49,42,33,24,18,15,11,5,4.86874,i started to visualize what i have in my garage,j,635.7071,0,2,2,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,,,
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,,,,,,,,,,,sandwich,sun,sober,society,saint,solar,suit,suite,sweet,saturday,sunday,silver,82,79,75,71,65,58,52,50,46,30,26,11,5,2.473675,i tried to think in things around me,p,1.47086,0,3,3,5,1,Words that start with S,Phonemic,p,suitable,,,,5,,,,,,,,,,,,,,,
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,,,,,,,,,,,table,lamp,desk,flowers,chair,sofa,tv,pen,paper,rug,carpet,phone,85,83,81,78,72,69,60,54,38,19,17,3,6,2.019315,i was trying to imagine some hotels i was in before,j,1.410355,0,4,4,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,,,
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,,,,,,,,,,,soccer,ball,bat,football,swim,basquetball,hockey,rugby,net,golf,arena,fans,90,83,79,77,71,69,56,52,41,28,18,12,5,1.87444,,j,1.768765,0,5,5,8,1,Sports,Semantic,j,players,,,,8,4,,,,,,,,,,,,,,
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,,,,,,,,,,,snake,frog,ant,dog,cat,lizard,fly,spider,racoon,squirl,rabbit,rat,86,83,82,80,78,75,73,69,65,62,57,46,3,1.554265,i was trying to find animals around me and in the zoo,j,1.44684,0,6,6,6,1,Animals,Semantic,j,bat,eagle,fish,shark,39,35,32,26,wale,pinguin,tiger,lion,monkey,turtle,21,17,15,13,8,4
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,,,,,,,,,,,ant,aunt,able,available,alive,air,apple,art,arise,atom,,,90,86,82,78,73,66,58,48,30,24,9,,5,6.91536,i was thinking in all types of things i coud remember ,j,1.173775,0,7,7,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,,,,
,,,,,,A24CG5BTB8KQ39,001,2020-07-27_21h00.45.415,Fluency_Task,2020.1.2,Linux x86_64,60,,,,,,,,,,,plate,fork,spoon,table,chair,linen,glass,wine,food,waiter,cooker,water,82,81,79,77,75,73,64,62,53,51,48,42,4,2.42628,,p,1.84945,0,8,8,1,1,Things in a Restaurant,Spatial,p,drinks,straw,napkin,flowers,39,29,23,18,paitings,,,,,,1,,,,,
