consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET
0,0,0,0,1,Consent1.png,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,space,1.298495,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,space,10.753275,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,space,3.919825,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,space,2.84699,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,space,11.02097,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,7.531245,start,star,see,sight,saw,stellar,seven,solar,screen,scene,sequel,stop,sit,still,sugar,sore,stone,speed,sped,slip,strike,steal,85,82,80,78,77,72,65,62,56,53,44,41,39,36,33,31,26,19,17,13,7,2,3,4.5422,"I kept repeating the s sound in my head and tried to complete a word, some came from word association with previous words.",p,2.601615,0,0,0,5,1,Words that start with S,Phonemic,p
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,menu,table,knife,fork,food,waiter,tablecloth,bowl,plate,napkin,flowers,candles,chairs,kitchen,salt,pepper,bread,,,,,,86,84,82,80,79,76,73,70,68,58,53,50,46,43,27,25,17,,,,,,3,5.04235,I pictured a restaurant in my mind and then looked around.,p,1.599965,0,1,1,1,1,Things in a Restaurant,Spatial,p
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,farm,five,feeble,fence,fetch,flur,flour,fork,food,finch,flame,flee,flat,flatten,fit,fold,feel,fell,fellow,fob,,,86,85,82,80,76,74,70,67,65,58,56,52,48,40,33,26,22,17,16,6,,,3,3.03227,"I just kept repeating words in my mind, saying f repeatedly and seeing what popped into my head.",p,1.25014,0,2,2,3,1,Words that start with F,Phonemic,p
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,tool,gas,oil,wrench,sprarkplugs,nuts,bolts,,,,,,,,,,,,,,,85,83,80,75,50,23,11,9,,,,,,,,,,,,,,,5,1.118605,I tried to put myself in a garage and think what I'd see.,j,2.033135,0,3,3,0,1,Things in a Garage,Spatial,j
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,door,counter,plant,elevator,clerk,sign,pictures,luggage,porters,,,,,,,,,,,,,,85,82,80,76,71,64,44,38,34,,,,,,,,,,,,,,5,1.668925,I tried to recall a lobby I have een in and then think what I had seen there.,j,1.44865,0,4,4,2,1,Things in a Hotel Lobby,Spatial,j
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,porter,clerk,bsiness person,teacher,driver,caterer,shop assistant,dentist,doctor,janitor,coach,gargener,cook,butler,,,,,,,,,74,71,65,60,58,52,41,36,35,27,20,14,12,4,,,,,,,,,4,2.154715,"I tied to think of the people I interact with, and theh think what it is they do.",p,1.353465,0,5,5,7,1,Occupations,Semantic,p
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ant,alpha,apple,arm,armpit,art,artist,arable,age,ale,affable,assistant,alarm,ancient,arch,archery,angst,anger,awe,awful,avenue,ace,84,82,80,77,75,73,71,67,61,58,52,45,38,32,30,26,21,19,15,11,6,4,2,2.1205,I though of categories and then all the things that began with a in those.,j,1.3758,0,6,6,4,1,Words that start with A,Phonemic,j
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cat,dot,bird,rabbit,horse,elephant,zebra,giraffe,monkey,chimpanze,groundhog,hare,sheep cows,chickens,pigs,goats,ducks,,,,,,87,86,84,81,79,76,73,65,62,57,41,35,27,25,22,20,16,,,,,,3,1.248815,"I thought of places animals are found and then what those would be, a farm for instance.",j,1.303305,0,7,7,6,1,Animals,Semantic,j
,,,,,,A8C3WNWRBWUXO,001,2020-07-27_21h08.33.959,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,baseball,football,hockey,soccer,bowling,running,swimming,polo,water polo,rowing,tennis,racketball,squash,,,,,,,,,,83,80,78,72,58,56,54,48,44,30,12,9,5,,,,,,,,,,4,1.760395,just what I played and watched on TV.,j,17.55505,0,8,8,8,1,Sports,Semantic,j
