consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,rt_32,rt_33,rt_34,rt_35,rt_36,rt_37,rt_38,rt_39,rt_40,rt_41,rt_42,rt_43,rt_44,rt_45,rt_46,rt_47,rt_48,rt_49,rt_50
0,0,0,0,1,Consent1.png,A381XX6JFYC3SN,001,2020-07-27_22h46.25.931,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A381XX6JFYC3SN,001,2020-07-27_22h46.25.931,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A381XX6JFYC3SN,001,2020-07-27_22h46.25.931,Fluency_Task,2020.1.2,Win32,60,space,4.28242,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A381XX6JFYC3SN,001,2020-07-27_22h46.25.931,Fluency_Task,2020.1.2,Win32,60,space,5.9043,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A381XX6JFYC3SN,001,2020-07-27_22h46.25.931,Fluency_Task,2020.1.2,Win32,60,space,11.48552,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A381XX6JFYC3SN,001,2020-07-27_22h46.25.931,Fluency_Task,2020.1.2,Win32,60,space,57.39599,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A381XX6JFYC3SN,001,2020-07-27_22h46.25.931,Fluency_Task,2020.1.2,Win32,60,space,28.963795,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A381XX6JFYC3SN,001,2020-07-27_22h46.25.931,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,2,17.10286,82,78,70,70,70,69,69,69,30,30,30,30,6,8.336245,,j,6.28563,0,0,0,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A381XX6JFYC3SN,001,2020-07-27_22h46.25.931,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,83,83,82,82,82,82,82,82,82,82,82,82,5,3.83228,,o,1.88014,0,1,1,5,1,Words that start with S,Phonemic,p,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,80,80
,,,,,,A381XX6JFYC3SN,001,2020-07-27_22h46.25.931,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,85,85,85,85,84,84,84,84,84,84,84,84,7,3.089655,,j,1.859875,0,2,2,8,1,Sports,Semantic,j,84,84,84,84,84,84,84,84,84,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,82,82,82,82,82
