consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,rt_1,rt_2,rt_3,rt_4,rt_5
0,0,0,0,1,Consent1.png,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,space,1.090165,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,space,0.34099,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,space,0.169755,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,space,0.126955,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,space,14.118575,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,1,3.483655,3,123.272645,,return,0.686205,0,0,0,5,1,Words that start with S,Phonemic,p,,,,,
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,4,32.229665,,p,1.50325,0,1,1,3,1,Words that start with F,Phonemic,p,91,87,,,
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,4,13.375095,,j,1.429925,0,2,2,0,1,Things in a Garage,Spatial,j,90,29,,,
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,4,2.44815,,j,1.39039,0,3,3,6,1,Animals,Semantic,j,90,,,,
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,4,9.74778,,j,1.328225,0,4,4,4,1,Words that start with A,Phonemic,j,90,,,,
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,4,9.158765,,j,1.375185,0,5,5,8,1,Sports,Semantic,j,91,,,,
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,3,3.28583,,p,1.778125,0,6,6,7,1,Occupations,Semantic,p,90,,,,
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,4,98.481385,,j,1.23573,0,7,7,2,1,Things in a Hotel Lobby,Spatial,j,91,88,86,84,80
,,,,,,,001,2020-11-25_01h04.38.619,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,7,2.440645,,return,0.870105,0,8,8,1,1,Things in a Restaurant,Spatial,p,91,-48,,,
